Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,11.370000,11.950000,11.370000,11.850000,6.227797,768565
2009-01-05,11.870000,12.470000,11.850000,12.170000,6.450408,1699311
2009-01-06,12.250000,12.930000,12.150000,12.760000,6.763123,1347932
2009-01-07,12.770000,12.880000,12.160000,12.290000,6.514010,1373705
2009-01-08,12.010000,12.460000,11.870000,12.340000,6.540511,802615
2009-01-09,12.340000,12.430000,11.980000,12.030000,6.376205,933344
2009-01-12,12.050000,12.120000,11.850000,11.920000,6.317901,643308
2009-01-13,11.870000,11.870000,11.470000,11.750000,6.227795,1047481
2009-01-14,11.950000,11.970000,11.340000,11.510000,6.100591,1213556
2009-01-15,11.350000,11.700000,11.080000,11.110000,5.888580,1376563
2009-01-16,11.260000,11.460000,11.080000,11.100000,5.883280,1280133
2009-01-19,11.230000,11.340000,11.000000,11.140000,5.904482,733772
2009-01-20,11.130000,11.230000,10.520000,10.680000,5.660670,933760
2009-01-21,10.670000,10.970000,10.450000,10.740000,5.692472,1447604
2009-01-22,10.950000,10.980000,10.280000,10.390000,5.506963,1200120
2009-01-23,10.320000,10.430000,9.920000,10.130000,5.369156,1098015
2009-01-26,10.000000,10.800000,10.000000,10.730000,5.687172,1021416
2009-01-27,10.790000,10.810000,10.460000,10.760000,5.703073,690738
2009-01-28,10.950000,10.950000,10.680000,10.900000,5.777276,757161
2009-01-29,10.800000,10.800000,10.150000,10.270000,5.443359,996516
2009-01-30,10.270000,10.530000,10.100000,10.240000,5.427457,1257348
2009-02-02,10.240000,10.240000,9.900000,9.990000,5.294952,2603315
2009-02-03,10.130000,10.130000,9.610000,9.870000,5.231349,1141323
2009-02-04,10.000000,10.530000,10.000000,10.360000,5.491062,1366001
2009-02-05,10.190000,10.390000,9.930000,10.210000,5.411558,1014609
2009-02-06,10.370000,10.570000,10.220000,10.450000,5.538764,788175
2009-02-09,10.450000,10.450000,10.130000,10.270000,5.443359,1627038
2009-02-10,10.230000,10.730000,10.080000,10.380000,5.501662,926631
2009-02-11,10.250000,10.540000,10.160000,10.260000,5.438059,647200
2009-02-12,10.180000,10.300000,9.950000,10.030000,5.316152,661547
2009-02-13,10.150000,10.410000,10.130000,10.150000,5.379755,513346
2009-02-16,10.050000,10.220000,9.960000,10.030000,5.316152,424078
2009-02-17,9.950000,10.100000,9.500000,9.590000,5.082942,831319
2009-02-18,9.590000,9.780000,9.320000,9.500000,5.035240,742567
2009-02-19,9.500000,9.560000,9.230000,9.260000,4.908034,858585
2009-02-20,9.200000,9.230000,8.830000,9.010000,4.775527,1238200
2009-02-23,9.100000,9.590000,8.820000,8.920000,4.727825,814484
2009-02-24,8.850000,8.970000,8.630000,8.820000,4.674822,913303
2009-02-25,8.910000,9.110000,8.520000,8.700000,4.611219,1047308
2009-02-26,8.640000,9.410000,8.600000,9.090000,4.817929,954600
2009-02-27,8.940000,9.150000,8.800000,9.120000,4.833831,1128492
2009-03-02,8.880000,8.980000,8.300000,8.500000,4.505214,787130
2009-03-03,8.500000,8.600000,8.160000,8.220000,4.356808,1055787
2009-03-04,8.300000,8.530000,8.280000,8.510000,4.510514,1150198
2009-03-05,8.550000,8.610000,8.000000,8.100000,4.293206,1217849
2009-03-06,8.170000,8.600000,8.170000,8.470000,4.489314,783963
2009-03-09,8.480000,8.520000,8.190000,8.420000,4.462813,1650092
2009-03-10,8.540000,9.010000,8.200000,9.010000,4.775527,1178553
2009-03-11,9.000000,9.240000,8.820000,9.050000,4.796729,722789
2009-03-12,9.060000,9.140000,8.720000,9.050000,4.796729,933399
2009-03-13,9.310000,9.310000,8.450000,8.610000,4.563517,1401775
2009-03-16,8.650000,8.750000,8.530000,8.620000,4.568818,1050522
2009-03-17,8.610000,8.610000,8.180000,8.440000,4.473413,1204883
2009-03-18,8.680000,8.710000,8.440000,8.510000,4.510514,659134
2009-03-19,8.670000,8.890000,8.300000,8.860000,4.696024,858519
2009-03-20,8.860000,9.240000,8.710000,9.140000,4.844430,2140520
2009-03-23,9.140000,9.700000,9.140000,9.680000,5.130644,1289325
2009-03-24,9.950000,9.950000,9.240000,9.360000,4.961036,1134130
2009-03-25,9.520000,9.520000,9.030000,9.060000,4.802028,1432959
2009-03-26,9.120000,9.120000,8.630000,8.980000,4.759627,2119816
2009-03-27,9.000000,9.360000,8.820000,8.840000,4.685423,1388335
2009-03-30,8.800000,8.800000,8.450000,8.500000,4.505214,1010376
2009-03-31,8.490000,8.800000,8.490000,8.750000,4.637721,649553
2009-04-01,8.680000,9.030000,8.420000,8.890000,4.711925,887030
2009-04-02,9.030000,9.620000,9.010000,9.550000,5.061741,1925753
2009-04-03,9.540000,10.350000,9.380000,10.100000,5.409904,2834783
2009-04-06,10.130000,10.460000,9.810000,10.000000,5.356339,1358553
2009-04-07,10.250000,10.260000,9.720000,9.960000,5.334915,1466506
2009-04-08,9.660000,10.430000,9.620000,10.430000,5.586662,1717711
2009-04-09,10.500000,10.980000,10.450000,10.870000,5.822341,1195300
2009-04-14,10.730000,11.400000,10.730000,11.160000,5.977677,1305652
2009-04-15,11.200000,11.370000,11.180000,11.260000,6.031239,1193685
2009-04-16,11.080000,11.340000,10.860000,11.130000,5.961607,1453748
2009-04-17,11.130000,11.390000,11.020000,11.270000,6.036596,1018464
2009-04-20,11.270000,11.330000,10.700000,11.000000,5.891973,1410700
2009-04-21,10.990000,11.100000,10.580000,11.020000,5.902687,798941
2009-04-22,11.000000,11.260000,10.770000,11.250000,6.025883,671496
2009-04-23,11.250000,11.400000,10.860000,11.150000,5.972320,1346107
2009-04-24,11.150000,11.380000,11.090000,11.370000,6.090158,577458
2009-04-27,11.370000,11.450000,11.090000,11.400000,6.106226,751796
