Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,5.471064,5.813617,5.431915,5.764681,4.401042,216337
2009-01-05,5.813617,6.087660,5.666809,5.901702,4.505650,320554
2009-01-06,5.989787,6.136596,5.862553,6.087660,4.647620,195547
2009-01-07,6.165958,6.195319,5.960426,6.107234,4.662564,559671
2009-01-08,6.009362,6.117022,5.872341,6.038724,4.610260,227302
2009-01-09,6.097447,6.097447,5.901702,6.019149,4.595315,476777
2009-01-12,5.960426,6.332341,5.940851,6.117022,4.670036,324003
2009-01-13,5.940851,6.586809,5.940851,6.361702,4.856837,841820
2009-01-14,6.410639,6.537873,6.224681,6.263830,4.782116,381013
2009-01-15,6.195319,6.577022,6.195319,6.557447,5.006279,385379
2009-01-16,6.655319,6.743405,6.488936,6.606383,5.043639,249518
2009-01-19,6.635745,6.635745,6.469362,6.537873,4.991335,246068
2009-01-20,6.351915,6.557447,6.283405,6.361702,4.856837,142217
2009-01-21,6.175745,6.312766,6.068085,6.263830,4.782116,243137
2009-01-22,6.361702,6.430213,6.126809,6.244256,4.767173,175551
2009-01-23,6.244256,6.440000,6.136596,6.410639,4.894198,157006
2009-01-26,6.498724,6.596596,6.254043,6.479149,4.946502,410979
2009-01-27,6.430213,6.479149,6.195319,6.479149,4.946502,444813
2009-01-28,6.488936,6.528085,6.293192,6.440000,4.916614,191530
2009-01-29,6.342128,6.420426,6.254043,6.351915,4.849365,50043
2009-01-30,6.391064,6.440000,6.254043,6.400851,4.886725,239542
2009-02-02,6.430213,6.469362,6.293192,6.430213,4.909142,81351
2009-02-03,6.508511,6.528085,6.273617,6.498724,4.961446,120030
2009-02-04,6.537873,6.557447,6.420426,6.518298,4.976391,189768
2009-02-05,6.547660,6.557447,6.449788,6.557447,5.006279,81433
2009-02-06,6.557447,6.557447,6.371490,6.410639,4.894198,105097
2009-02-09,6.508511,6.508511,6.351915,6.351915,4.849365,69471
2009-02-10,6.361702,6.391064,6.322553,6.332341,4.834422,121867
2009-02-11,6.361702,6.440000,6.283405,6.361702,4.856837,376346
2009-02-12,6.273617,6.557447,6.273617,6.508511,4.968918,237232
2009-02-13,6.547660,6.625958,6.508511,6.537873,4.991335,362301
2009-02-16,6.400851,6.586809,6.400851,6.537873,4.991335,83518
2009-02-17,6.391064,6.557447,6.391064,6.547660,4.998807,118005
2009-02-18,6.459575,6.606383,6.410639,6.557447,5.006279,345647
2009-02-19,6.528085,6.625958,6.440000,6.488936,4.953973,403956
2009-02-20,6.488936,6.537873,6.283405,6.391064,4.879254,747535
2009-02-23,6.459575,6.596596,6.459575,6.557447,5.006279,254836
2009-02-24,6.557447,6.596596,6.469362,6.479149,4.946502,218284
2009-02-25,6.596596,6.792341,6.469362,6.655319,5.080999,369575
2009-02-26,6.596596,6.772766,6.557447,6.655319,5.080999,119268
2009-02-27,6.655319,6.753192,6.537873,6.733617,5.140776,216705
2009-03-02,6.655319,6.655319,6.518298,6.577022,5.021224,198786
2009-03-03,6.606383,6.606383,6.371490,6.557447,5.006279,175195
2009-03-04,6.528085,6.704256,6.488936,6.557447,5.006279,196695
2009-03-05,6.596596,6.596596,6.175745,6.234468,4.759701,147074
2009-03-06,6.165958,6.234468,5.891915,6.077873,4.640149,318162
2009-03-09,6.205107,6.205107,5.940851,5.999575,4.580371,116906
2009-03-10,5.980000,6.430213,5.980000,6.332341,4.834422,309301
2009-03-11,6.312766,6.479149,6.234468,6.351915,4.849365,224441
2009-03-12,6.391064,6.557447,6.263830,6.528085,4.983863,121673
2009-03-13,6.557447,6.606383,6.508511,6.528085,4.983863,202830
