Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,3.988073,4.088396,3.988073,4.069584,2.548610,740746
2009-01-05,4.075858,4.107207,4.038234,4.050772,2.565737,1258918
2009-01-06,4.088396,4.226351,4.019423,4.226351,2.676947,730305
2009-01-07,4.157378,4.226351,4.126019,4.182454,2.649143,738304
2009-01-08,4.182454,4.182454,4.075858,4.113481,2.605456,1063088
2009-01-09,4.144831,4.144831,4.069584,4.075858,2.581625,1529367
2009-01-12,4.069584,4.069584,3.981799,4.031961,2.553821,780544
2009-01-13,4.006885,4.006885,3.862656,3.912826,2.478362,855554
2009-01-14,3.937902,3.937902,3.705898,3.756059,2.379067,1193061
2009-01-15,3.781145,3.931638,3.649463,3.931638,2.490278,1260103
2009-01-16,3.962988,4.044508,3.919091,4.019423,2.545880,1392441
2009-01-19,4.044508,4.044508,3.774871,3.837580,2.430701,1218817
2009-01-20,3.806221,3.981799,3.730974,3.737248,2.367152,884939
2009-01-21,3.969261,4.006885,3.699624,3.931638,2.490278,1450598
2009-01-22,3.931638,4.075858,3.837580,3.906553,2.474389,896013
2009-01-23,3.906553,3.969261,3.749786,3.868929,2.450557,998863
2009-01-26,3.856391,4.057046,3.806221,4.044508,2.561769,1110583
2009-01-27,4.063320,4.063320,3.931638,4.063320,2.573684,1017792
2009-01-28,4.082131,4.201266,4.075858,4.138566,2.621345,1253195
2009-01-29,4.163642,4.195001,4.050772,4.157378,2.633260,986845
2009-01-30,4.157378,4.251436,4.069584,4.251436,2.692837,11002905
2009-02-02,4.207539,4.251436,3.981799,4.025696,2.549853,1376363
2009-02-03,4.075858,4.188728,3.962988,4.188728,2.653117,903208
2009-02-04,4.182454,4.213813,4.050772,4.138566,2.621345,781696
2009-02-05,4.082131,4.132293,3.925364,4.126019,2.613398,927424
2009-02-06,4.151104,4.295324,4.100943,4.238889,2.684890,1147441
2009-02-09,4.169916,4.395656,4.157378,4.395656,2.784184,1780877
2009-02-10,4.389382,4.521064,4.301598,4.358033,2.760354,1158012
2009-02-11,4.408194,4.521064,4.263974,4.521064,2.863617,2226649
2009-02-12,4.514800,4.577499,4.439553,4.546149,2.879505,1073834
2009-02-13,4.564961,4.734266,4.533611,4.627670,2.931140,773381
2009-02-16,4.521064,4.577499,4.408194,4.427006,2.804041,630267
2009-02-17,4.408194,4.445817,4.207539,4.401930,2.788157,1376753
2009-02-18,4.395656,4.452091,4.289060,4.414468,2.796100,663471
2009-02-19,4.414468,4.477176,4.339221,4.389382,2.780210,775109
2009-02-20,4.276512,4.314136,4.138566,4.188728,2.653117,1000911
2009-02-23,4.238889,4.314136,4.025696,4.075858,2.581625,886291
2009-02-24,4.075858,4.144831,3.969261,4.144831,2.625313,776932
2009-02-25,4.169916,4.263974,4.025696,4.075858,2.581625,704978
2009-02-26,4.063320,4.326683,4.057046,4.326683,2.740497,745586
2009-02-27,4.213813,4.289060,4.075858,4.075858,2.581625,664509
2009-03-02,3.975526,4.025696,3.887741,3.887741,2.462474,632808
2009-03-03,3.894015,4.063320,3.806221,4.050772,2.565737,1108168
2009-03-04,4.088396,4.119755,4.013149,4.088396,2.589567,942601
2009-03-05,4.088396,4.100943,3.912826,3.912826,2.478362,1071620
2009-03-06,3.912826,4.038234,3.837580,4.038234,2.557795,1512131
2009-03-09,4.038234,4.176190,3.906553,4.176190,2.645175,1700068
2009-03-10,4.176190,4.383118,4.082131,4.307871,2.728582,1614450
2009-03-11,4.276512,4.495988,4.245163,4.276512,2.708720,1324557
2009-03-12,4.320409,4.376844,4.138566,4.376844,2.772268,889753
2009-03-13,4.464629,4.470903,4.107207,4.195001,2.657091,1392145
2009-03-16,4.263974,4.289060,4.100943,4.138566,2.621345,925635
2009-03-17,4.188728,4.245163,4.088396,4.201266,2.661058,1089699
2009-03-18,4.201266,4.383118,4.201266,4.289060,2.716667,1298824
2009-03-19,4.376844,4.470903,4.307871,4.452091,2.819930,885863
2009-03-20,4.452091,4.577499,4.295324,4.539876,2.875532,1853456
2009-03-23,4.539876,4.796975,4.508526,4.746804,3.006600,1989260
2009-03-24,4.891033,4.909845,4.702916,4.815786,3.050292,849484
2009-03-25,4.828324,5.003903,4.734266,4.922383,3.117810,1144246
2009-03-26,4.884759,4.966280,4.822051,4.941194,3.129725,1158462
2009-03-27,4.859674,4.947468,4.853410,4.853410,3.074122,383435
2009-03-30,4.790701,4.790701,4.577499,4.577499,2.899363,1247516
2009-03-31,4.646481,4.997629,4.640208,4.997629,3.165471,982680
2009-04-01,4.847136,5.003903,4.790701,4.928656,3.121783,1475433
2009-04-02,5.003903,5.398948,4.953732,5.380136,3.407747,2320501
2009-04-03,5.380136,5.455383,5.217096,5.417760,3.431579,745884
2009-04-06,5.430298,5.549441,5.311154,5.518082,3.525859,1257017
2009-04-07,5.518082,5.618414,5.336239,5.555706,3.549900,1788362
2009-04-08,5.424024,5.643500,5.424024,5.643500,3.605996,1018002
2009-04-09,5.649764,5.737558,5.568253,5.662311,3.618016,945370
2009-04-14,5.568253,5.762634,5.536894,5.693661,3.638048,1834568
2009-04-15,5.693661,5.800257,5.580791,5.731284,3.662088,1530691
2009-04-16,5.800257,5.894316,5.743822,5.894316,3.766260,1839537
2009-04-17,5.894316,5.925675,5.718746,5.775181,3.690135,1748596
2009-04-20,5.775181,5.800257,5.348777,5.449109,3.481788,1435536
2009-04-21,5.511818,5.561979,5.066602,5.417760,3.461757,1895652
2009-04-22,5.329966,5.800257,5.329966,5.800257,3.706160,1380348
2009-04-23,5.793993,5.875504,5.599603,5.762634,3.682119,1860052
2009-04-24,5.806531,5.944486,5.649764,5.668576,3.622019,1333242
2009-04-27,5.643500,5.643500,5.411486,5.643500,3.605996,1315548
2009-04-28,5.580791,5.580791,5.361325,5.436571,3.473778,859249
2009-04-29,5.486733,5.599603,5.486733,5.599603,3.577948,731440
2009-04-30,5.637226,5.737558,5.536894,5.643500,3.605996,1109454
2009-05-04,5.737558,5.756370,5.643500,5.756370,3.678117,1314707
2009-05-05,5.656038,5.844154,5.656038,5.831616,3.726196,982880
2009-05-06,5.894316,5.925675,5.768908,5.925675,3.786296,2200094
2009-05-07,5.875504,6.000921,5.850428,5.957024,3.806327,1857622
2009-05-08,5.787719,5.975836,5.787719,5.938213,3.794307,724364
2009-05-11,5.881778,5.938213,5.743822,5.762634,3.682119,754103
2009-05-12,5.781446,5.781446,5.662311,5.706199,3.646061,1410045
2009-05-13,5.706199,5.781446,5.461647,5.480459,3.501819,1073375
2009-05-14,5.392674,5.630952,5.329966,5.493006,3.509837,1082757
2009-05-15,5.455383,5.693661,5.455383,5.612141,3.585960,1226082
2009-05-18,5.612141,5.800257,5.524356,5.743822,3.670098,1303159
2009-05-19,5.960000,6.033330,5.806660,5.900000,3.769890,1569238
2009-05-20,5.926660,6.000000,5.686660,5.873330,3.752851,2257168
2009-05-21,5.846660,5.893330,5.746660,5.800000,3.705994,942392
2009-05-22,5.833330,5.880000,5.740000,5.793330,3.701732,1380553
2009-05-25,5.793330,5.820000,5.706660,5.720000,3.654877,787119
2009-05-26,5.720000,5.773330,5.593330,5.773330,3.688954,2663566
2009-05-27,5.746660,5.873330,5.626660,5.646660,3.608016,2044423
2009-05-28,5.666660,5.793330,5.646660,5.746660,3.671913,2154021
2009-05-29,5.740000,5.813330,5.713330,5.800000,3.705994,1691068
2009-06-01,5.766660,5.780000,5.646660,5.733330,3.663395,1464229
2009-06-02,5.713330,5.860000,5.620000,5.860000,3.744332,2470139
2009-06-03,5.866660,5.866660,5.693330,5.720000,3.654877,1690437
2009-06-04,5.760000,5.866660,5.720000,5.826660,3.723030,1172114
2009-06-05,5.786660,5.960000,5.786660,5.873330,3.752851,1005054
2009-06-08,5.966660,5.966660,5.780000,5.920000,3.782671,1249191
2009-06-09,5.973330,6.440000,5.920000,6.440000,4.114933,1927863
2009-06-10,6.533330,6.540000,6.233330,6.246660,3.991396,2104677
2009-06-11,6.226660,6.260000,6.120000,6.146660,3.927499,1154260
2009-06-12,6.160000,6.193330,6.080000,6.153330,3.931761,1460521
2009-06-15,6.106660,6.133330,5.893330,5.993330,3.829525,1634535
2009-06-16,5.933330,6.060000,5.906660,6.006660,3.838045,1540050
2009-06-17,6.000000,6.000000,5.726660,5.760000,3.680436,1193865
2009-06-18,5.800000,5.953330,5.746660,5.920000,3.782671,1266224
2009-06-19,5.920000,5.986660,5.853330,5.853330,3.740070,1801934
2009-06-22,5.853330,5.890000,5.610000,5.616660,3.588847,1976777
2009-06-23,5.606660,5.636660,5.366660,5.600000,3.578202,875817
2009-06-24,5.653330,5.696660,5.510000,5.626660,3.595237,1127919
2009-06-25,5.603330,5.690000,5.526660,5.676660,3.627185,1362024
2009-06-26,5.686660,5.813330,5.613330,5.653330,3.612278,649080
2009-06-29,5.653330,5.706660,5.586660,5.666660,3.620796,829546
2009-06-30,5.706660,5.706660,5.590000,5.613330,3.586719,828211
2009-07-01,5.596660,5.753330,5.596660,5.680000,3.629320,981213
2009-07-02,5.693330,5.693330,5.513330,5.520000,3.527085,899859
2009-07-03,5.613330,5.613330,5.373330,5.406660,3.454665,1094724
2009-07-06,5.380000,5.446660,5.206660,5.346660,3.445558,1189965
2009-07-07,5.340000,5.543330,5.333330,5.416660,3.490666,1469981
2009-07-08,5.420000,5.493330,5.346660,5.413330,3.488521,1284370
2009-07-09,5.413330,5.526660,5.413330,5.483330,3.533632,1142473
2009-07-10,5.426660,5.486660,5.420000,5.446660,3.510000,1141291
2009-07-13,5.406660,5.493330,5.320000,5.470000,3.525042,1005342
2009-07-14,5.530000,5.586660,5.430000,5.503330,3.546519,1010752
2009-07-15,5.503330,5.540000,5.436660,5.513330,3.552964,2155699
2009-07-16,5.500000,5.596660,5.463330,5.516660,3.555111,1939847
2009-07-17,5.566660,5.583330,5.506660,5.526660,3.561554,1325658
2009-07-20,5.526660,5.586660,5.500000,5.503330,3.546519,525260
2009-07-21,5.533330,5.596660,5.516660,5.546660,3.574444,873167
2009-07-22,5.513330,5.560000,5.460000,5.540000,3.570152,1117546
2009-07-23,5.573330,5.580000,5.456660,5.526660,3.561554,998667
2009-07-24,5.520000,5.553330,5.500000,5.510000,3.550819,934573
2009-07-27,5.543330,5.560000,5.433330,5.433330,3.501410,1616328
