Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,3.166337,3.273369,3.166337,3.166337,2.403933,2972
2009-01-05,3.130660,3.210934,2.943356,3.121741,2.370075,31022
2009-01-06,null,null,null,null,null,null
2009-01-07,2.952275,3.184176,2.791728,3.184176,2.417476,33475
2009-01-08,3.175257,3.175257,3.103903,3.175257,2.410706,2354
2009-01-09,3.103903,3.282288,3.103903,3.175257,2.410706,255
2009-01-12,3.103903,3.103903,3.103903,3.103903,2.356531,1509
2009-01-13,3.121741,3.166337,3.077145,3.121741,2.370075,5717
2009-01-14,3.041468,3.157418,3.032549,3.032549,2.302358,6369
2009-01-15,3.032549,3.032549,2.987952,2.987952,2.268500,6141
2009-01-16,3.166337,3.166337,2.943356,3.148499,2.390390,13197
2009-01-19,2.961194,3.148499,2.961194,3.094983,2.349761,1793
2009-01-20,3.121741,3.121741,2.952275,2.979033,2.261729,21862
2009-01-21,2.943356,2.943356,2.943356,2.979033,2.261729,512
2009-01-22,2.979033,2.979033,2.979033,2.979033,2.261729,448
2009-01-23,3.094983,3.094983,2.943356,3.023629,2.295587,4273
2009-01-26,2.943356,3.014710,2.943356,3.014710,2.288815,4297
2009-01-27,2.943356,3.023629,2.943356,2.987952,2.268500,4468
2009-01-28,3.014710,3.014710,3.014710,3.014710,2.288815,560
2009-01-29,2.943356,2.952275,2.943356,2.943356,2.234643,1121
2009-01-30,2.943356,2.943356,2.943356,2.943356,2.234643,473
2009-02-02,3.014710,3.014710,2.943356,2.943356,2.234643,15908
2009-02-03,2.943356,2.943356,2.880921,2.943356,2.234643,1285
2009-02-04,2.880921,2.943356,2.880921,2.880921,2.187241,3565
2009-02-05,2.880921,2.880921,2.880921,2.880921,2.187241,1536
2009-02-06,2.880921,2.880921,2.880921,2.880921,2.187241,6221
2009-02-09,2.872002,2.872002,2.872002,2.872002,2.180469,15550
2009-02-10,2.818486,2.836325,2.818486,2.818486,2.139838,8300
2009-02-11,2.818486,2.818486,2.818486,2.818486,2.139838,2315
2009-02-12,2.836325,2.836325,2.818486,2.836325,2.153383,6036
2009-02-13,2.818486,2.818486,2.818486,2.836325,2.153383,414
2009-02-16,2.711455,2.854163,2.711455,2.827406,2.146611,4148
2009-02-17,2.720374,2.720374,2.675778,2.675778,2.031492,29335
2009-02-18,2.675778,2.684697,2.675778,2.675778,2.031492,2733
2009-02-19,2.675778,2.693617,2.675778,2.675778,2.031492,8128
2009-02-20,2.675778,2.675778,2.631182,2.666859,2.024721,9485
2009-02-23,2.631182,2.657940,2.631182,2.631182,1.997634,9787
2009-02-24,2.631182,2.631182,2.452797,2.541989,1.929918,7783
2009-02-25,2.613343,2.675778,2.506312,2.675778,2.031492,21570
2009-02-26,2.675778,2.675778,2.675778,2.675778,2.031492,1457
2009-02-27,2.470635,2.675778,2.470635,2.657940,2.017949,7566
2009-03-02,2.452797,2.649020,2.363604,2.363604,1.794486,6141
2009-03-03,2.363604,2.381442,2.363604,2.363604,1.794486,560
2009-03-04,2.381442,2.604424,2.319008,2.604424,1.977319,14322
2009-03-05,2.559828,2.595505,2.319008,2.363604,1.794486,9395
2009-03-06,2.220896,2.434958,1.873045,1.917641,1.455903,92371
2009-03-09,2.060349,2.060349,1.864125,1.962237,1.489761,14641
2009-03-10,1.864125,1.962237,1.783852,1.864125,1.415273,37071
2009-03-11,1.792771,2.006833,1.792771,1.828448,1.388186,27226
2009-03-12,1.828448,1.873045,1.792771,1.873045,1.422045,9143
2009-03-13,2.006833,2.006833,1.944399,1.962237,1.489761,10540
2009-03-16,1.881964,2.051430,1.873045,2.024672,1.537163,12453
2009-03-17,1.962237,1.962237,1.837367,1.873045,1.422045,58420
2009-03-18,1.953318,2.122784,1.953318,2.024672,1.537163,20733
2009-03-19,2.122784,2.122784,2.024672,2.051430,1.557478,21498
2009-03-20,1.962237,2.051430,1.828448,2.051430,1.557478,28181
2009-03-23,1.899802,2.185219,1.899802,2.185219,1.659053,19023
2009-03-24,2.096026,2.256573,2.087107,2.104945,1.598107,17661
2009-03-25,2.087107,2.131703,2.006833,2.033591,1.543934,4174
2009-03-26,2.113865,2.113865,1.962237,1.971156,1.496532,13716
2009-03-27,2.051430,2.051430,1.917641,1.917641,1.455903,17257
2009-03-30,2.024672,2.024672,1.881964,1.908722,1.449132,2966
2009-03-31,1.908722,1.953318,1.881964,1.953318,1.482990,4350
2009-04-01,1.890883,1.962237,1.890883,1.935479,1.469446,10658
2009-04-02,1.953318,2.033591,1.953318,1.953318,1.482990,9551
2009-04-03,2.096026,2.158461,2.006833,2.096026,1.591336,36185
2009-04-06,2.238734,2.238734,1.980076,2.176299,1.652280,66153
2009-04-07,2.131703,2.247654,2.113865,2.247654,1.706454,89439
2009-04-08,2.247654,2.408200,2.140622,2.336846,1.774170,24256
2009-04-09,2.461716,2.497393,2.363604,2.408200,1.828344,9473
2009-04-14,2.363604,2.586585,2.363604,2.586585,1.963776,96198
