Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,5.400000,5.460000,5.330000,5.410000,2.994276,1976000
2009-01-05,5.440000,5.710000,5.430000,5.680000,3.143713,1895000
2009-01-06,5.740000,5.780000,5.600000,5.650000,3.127109,2557100
2009-01-07,5.710000,5.720000,5.500000,5.560000,3.077296,3125500
2009-01-08,5.490000,5.560000,5.350000,5.430000,3.005345,2063000
2009-01-09,5.480000,5.500000,5.070000,5.170000,2.861443,4855200
2009-01-12,5.170000,5.170000,4.900000,4.910000,2.717541,3364200
2009-01-13,4.900000,4.930000,4.720000,4.810000,2.662193,3421100
2009-01-14,4.830000,4.920000,4.520000,4.640000,2.568104,2695500
2009-01-15,4.640000,4.690000,4.400000,4.590000,2.540430,3008100
2009-01-16,4.680000,4.690000,4.450000,4.480000,2.479548,2739200
2009-01-19,4.560000,4.580000,4.340000,4.400000,2.435270,2297900
2009-01-20,4.370000,4.470000,4.240000,4.280000,2.368855,2271200
2009-01-21,4.200000,4.210000,4.090000,4.130000,2.285834,3237500
2009-01-22,4.210000,4.230000,3.750000,3.760000,2.081049,9011800
2009-01-23,3.780000,4.040000,3.760000,3.900000,2.158535,3708700
2009-01-26,3.860000,3.960000,3.800000,3.820000,2.114258,3041700
2009-01-27,3.880000,3.960000,3.810000,3.950000,2.186208,4148600
2009-01-28,4.030000,4.070000,3.980000,4.070000,2.252625,3561700
2009-01-29,4.100000,4.120000,3.990000,4.060000,2.247091,3129700
2009-01-30,4.100000,4.130000,3.850000,3.890000,2.153001,2869300
2009-02-02,3.840000,3.900000,3.580000,3.680000,2.036772,3758500
2009-02-03,3.740000,3.860000,3.710000,3.840000,2.125327,3413100
2009-02-04,3.890000,4.150000,3.860000,4.020000,2.224952,4630600
2009-02-05,3.950000,4.200000,3.910000,4.170000,2.307972,3544400
2009-02-06,4.220000,4.410000,4.180000,4.250000,2.352250,4592400
2009-02-09,4.210000,4.420000,4.200000,4.360000,2.413132,3311500
2009-02-10,4.320000,4.400000,4.300000,4.390000,2.429736,3429400
2009-02-11,4.380000,4.380000,4.250000,4.350000,2.407597,2137900
2009-02-12,4.320000,4.360000,4.240000,4.340000,2.402062,1642400
2009-02-13,4.410000,4.530000,4.370000,4.500000,2.490618,3030000
2009-02-16,4.440000,4.490000,4.320000,4.360000,2.413132,1773300
2009-02-17,4.250000,4.380000,4.150000,4.260000,2.357785,2544200
2009-02-18,4.260000,4.330000,4.110000,4.300000,2.379924,2426900
2009-02-19,4.300000,4.340000,4.220000,4.300000,2.379924,1898100
2009-02-20,4.270000,4.270000,4.020000,4.060000,2.247091,2433000
2009-02-23,4.110000,4.180000,3.850000,3.910000,2.164070,2054000
2009-02-24,3.850000,4.120000,3.800000,3.970000,2.197278,2654200
2009-02-25,4.100000,4.140000,3.740000,3.890000,2.153001,3080500
2009-02-26,3.880000,4.030000,3.870000,3.950000,2.186208,2092600
2009-02-27,3.900000,3.900000,3.720000,3.760000,2.081049,2080000
2009-03-02,3.690000,3.770000,3.430000,3.480000,1.926078,2472700
2009-03-03,3.420000,3.560000,3.360000,3.400000,1.881800,2010700
2009-03-04,3.450000,3.570000,3.440000,3.530000,1.953751,3046500
2009-03-05,3.510000,3.530000,3.240000,3.250000,1.798779,2141900
2009-03-06,3.260000,3.320000,3.110000,3.180000,1.760036,1896300
2009-03-09,3.210000,3.250000,3.030000,3.110000,1.721294,2146400
2009-03-10,3.130000,3.340000,3.070000,3.330000,1.843057,2406700
2009-03-11,3.370000,3.530000,3.290000,3.330000,1.843057,3173100
2009-03-12,3.290000,3.450000,3.250000,3.420000,1.892869,2437200
2009-03-13,3.490000,3.570000,3.340000,3.360000,1.859661,3324100
2009-03-16,3.360000,3.540000,3.360000,3.440000,1.903939,2296713
2009-03-17,3.440000,3.460000,3.320000,3.380000,1.870731,2422600
2009-03-18,3.410000,3.540000,3.410000,3.510000,1.942681,3185300
2009-03-19,3.540000,3.640000,3.440000,3.480000,1.926078,2055800
2009-03-20,3.480000,3.560000,3.410000,3.490000,1.931613,2317700
2009-03-23,3.490000,3.630000,3.450000,3.530000,1.953751,1850463
2009-03-24,3.580000,3.580000,3.450000,3.510000,1.942681,2060600
2009-03-25,3.520000,3.600000,3.480000,3.550000,1.964820,2098100
2009-03-26,3.600000,3.600000,3.430000,3.470000,1.920543,2374100
2009-03-27,3.510000,3.530000,3.410000,3.430000,1.898404,1112500
2009-03-30,3.400000,3.480000,3.230000,3.260000,1.804314,1768800
2009-03-31,3.310000,3.390000,3.280000,3.370000,1.865196,2210500
2009-04-01,3.390000,3.440000,3.200000,3.380000,1.870731,3029200
2009-04-02,3.440000,3.570000,3.380000,3.540000,1.959286,2965700
2009-04-03,3.570000,3.700000,3.510000,3.660000,2.025702,2005600
2009-04-06,3.740000,3.790000,3.600000,3.650000,2.020168,1883900
2009-04-07,3.710000,3.730000,3.600000,3.650000,2.020168,2465600
2009-04-08,3.560000,3.840000,3.550000,3.830000,2.119793,1859200
2009-04-09,3.850000,4.010000,3.850000,3.970000,2.197278,2043700
2009-04-14,4.000000,4.050000,3.870000,3.980000,2.202813,3045000
2009-04-15,3.980000,4.120000,3.970000,4.080000,2.258160,2718900
2009-04-16,4.100000,4.380000,4.090000,4.290000,2.374389,3447400
2009-04-17,4.290000,4.440000,4.210000,4.390000,2.429736,2976900
2009-04-20,4.360000,4.390000,4.090000,4.110000,2.274764,1987300
2009-04-21,4.100000,4.190000,3.960000,4.080000,2.258160,1862100
2009-04-22,4.100000,4.230000,4.040000,4.220000,2.335646,1602700
2009-04-23,4.240000,4.300000,4.160000,4.180000,2.313507,1188800
2009-04-24,4.200000,4.280000,4.170000,4.280000,2.368855,926400
2009-04-27,4.210000,4.230000,4.060000,4.190000,2.319042,1591900
2009-04-28,4.090000,4.090000,3.810000,3.890000,2.153001,3105800
2009-04-29,3.910000,4.060000,3.910000,4.040000,2.236022,2355900
2009-04-30,4.060000,4.170000,4.050000,4.160000,2.302437,1994900
2009-05-04,4.180000,4.310000,4.070000,4.170000,2.307972,2328000
2009-05-05,4.260000,4.500000,4.230000,4.470000,2.474013,4001500
2009-05-06,4.460000,4.460000,4.320000,4.360000,2.413132,4023100
2009-05-07,4.440000,4.650000,4.400000,4.480000,2.531514,4288300
2009-05-08,4.550000,4.650000,4.510000,4.560000,2.576720,2796000
2009-05-11,4.620000,4.630000,4.470000,4.530000,2.559768,2011800
2009-05-12,4.500000,4.590000,4.420000,4.470000,2.525863,2581200
2009-05-13,4.530000,4.530000,4.170000,4.210000,2.378945,2984100
2009-05-14,4.190000,4.270000,4.120000,4.230000,2.390246,1954800
2009-05-15,4.250000,4.320000,4.200000,4.280000,2.418500,1430100
2009-05-18,4.230000,4.410000,4.120000,4.390000,2.480658,2098300
2009-05-19,4.440000,4.530000,4.390000,4.480000,2.531514,2998900
2009-05-20,4.440000,4.550000,4.360000,4.550000,2.571069,5834500
2009-05-21,4.480000,4.590000,4.410000,4.590000,2.593672,3063200
2009-05-22,4.590000,4.740000,4.540000,4.570000,2.582370,2787100
2009-05-25,4.570000,4.620000,4.410000,4.520000,2.554116,1555500
2009-05-26,4.470000,4.530000,4.440000,4.530000,2.559768,2195000
2009-05-27,4.530000,4.570000,4.480000,4.530000,2.559768,1424600
2009-05-28,4.490000,4.540000,4.450000,4.470000,2.525863,1768000
2009-05-29,4.520000,4.650000,4.500000,4.600000,2.599322,4602300
2009-06-01,4.650000,4.710000,4.590000,4.660000,2.633226,1658300
2009-06-02,4.660000,4.710000,4.600000,4.670000,2.638877,1506300
2009-06-03,4.650000,4.670000,4.540000,4.570000,2.582370,2395400
2009-06-04,4.580000,4.620000,4.510000,4.520000,2.554116,1312400
2009-06-05,4.540000,4.570000,4.470000,4.490000,2.537165,2273100
2009-06-08,4.490000,4.510000,4.280000,4.350000,2.458055,2046300
2009-06-09,4.330000,4.380000,4.230000,4.320000,2.441103,1975300
2009-06-10,4.360000,4.440000,4.340000,4.400000,2.486308,1710000
2009-06-11,4.360000,4.480000,4.360000,4.460000,2.520213,997400
2009-06-12,4.460000,4.510000,4.380000,4.420000,2.497610,1696300
2009-06-15,4.390000,4.400000,4.220000,4.220000,2.384596,1947041
2009-06-16,4.230000,4.290000,4.200000,4.200000,2.373294,2002307
2009-06-17,4.200000,4.200000,3.940000,3.990000,2.254629,3842785
2009-06-18,4.040000,4.070000,3.945000,4.020000,2.271582,2847488
2009-06-19,3.690000,4.060000,3.690000,4.010000,2.265931,3146200
2009-06-22,4.010000,4.065000,3.870000,3.890000,2.198123,1640177
2009-06-23,3.850000,3.980000,3.850000,3.950000,2.232027,1993200
2009-06-24,3.990000,4.150000,3.930000,4.110000,2.322438,2448800
2009-06-25,4.110000,4.170000,4.035000,4.160000,2.350691,4775560
