Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,2.280000,2.330000,2.260000,2.320000,1.907046,57823
2009-01-05,2.170000,2.390000,2.170000,2.390000,1.964586,60980
2009-01-06,2.400000,2.560000,2.400000,2.560000,2.104326,32484
2009-01-07,2.560000,2.750000,2.540000,2.620000,2.153647,91798
2009-01-08,2.630000,2.700000,2.580000,2.670000,2.194747,53637
2009-01-09,2.670000,2.670000,2.600000,2.660000,2.186527,38200
2009-01-12,2.620000,2.640000,2.600000,2.600000,2.137207,28200
2009-01-13,2.730000,2.730000,2.620000,2.660000,2.186527,10100
2009-01-14,2.710000,2.710000,2.600000,2.600000,2.137207,47900
2009-01-15,2.620000,2.650000,2.420000,2.600000,2.137207,120700
2009-01-16,2.650000,2.710000,2.600000,2.710000,2.227627,29500
2009-01-19,2.710000,2.720000,2.710000,2.720000,2.235847,17000
2009-01-20,2.730000,2.730000,2.680000,2.720000,2.235847,10943
2009-01-21,2.730000,2.730000,2.680000,2.690000,2.211187,10595
2009-01-22,2.720000,2.740000,2.650000,2.670000,2.194747,6694
2009-01-23,2.740000,2.740000,2.670000,2.730000,2.244067,20343
2009-01-26,2.680000,2.730000,2.600000,2.730000,2.244067,11767
2009-01-27,2.730000,2.730000,2.670000,2.700000,2.219407,23084
2009-01-28,2.730000,2.780000,2.650000,2.780000,2.285167,77094
2009-01-29,2.750000,2.750000,2.680000,2.690000,2.211187,22700
2009-01-30,2.790000,2.850000,2.620000,2.730000,2.244067,14805
2009-02-02,2.750000,2.750000,2.680000,2.720000,2.235847,28867
2009-02-03,2.740000,2.750000,2.720000,2.750000,2.260507,4672
2009-02-04,2.750000,2.750000,2.680000,2.740000,2.252287,12929
2009-02-05,2.750000,2.750000,2.680000,2.700000,2.219407,12360
2009-02-06,2.740000,2.870000,2.680000,2.800000,2.301607,81248
2009-02-09,2.880000,2.880000,2.750000,2.750000,2.260507,10510
2009-02-10,2.760000,2.780000,2.750000,2.760000,2.268727,5221
2009-02-11,2.760000,2.840000,2.700000,2.840000,2.334487,12015
2009-02-12,2.740000,2.790000,2.680000,2.680000,2.202967,18608
2009-02-13,2.700000,2.700000,2.640000,2.680000,2.202967,11837
2009-02-16,2.600000,2.790000,2.600000,2.630000,2.161867,10098
2009-02-17,2.650000,2.700000,2.570000,2.570000,2.112547,14067
2009-02-18,2.550000,2.650000,2.360000,2.450000,2.013906,45329
2009-02-19,2.500000,2.500000,2.260000,2.260000,1.857726,100273
2009-02-20,2.390000,2.390000,2.170000,2.270000,1.865946,19329
2009-02-23,2.390000,2.390000,2.200000,2.270000,1.865946,14925
2009-02-24,2.290000,2.290000,2.200000,2.260000,1.857726,11720
2009-02-25,2.290000,2.500000,2.280000,2.500000,2.055007,8725
2009-02-26,2.580000,2.580000,2.380000,2.470000,2.030346,35613
2009-02-27,2.580000,2.580000,2.430000,2.490000,2.046786,13394
2009-03-02,2.400000,2.400000,2.350000,2.370000,1.948146,15602
2009-03-03,2.380000,2.380000,2.200000,2.350000,1.931706,12222
2009-03-04,2.380000,2.380000,2.350000,2.380000,1.956366,33028
2009-03-05,2.400000,2.400000,2.320000,2.320000,1.907046,23860
2009-03-06,2.350000,2.350000,2.200000,2.300000,1.890606,30084
