Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,6.245000,6.330000,6.170000,6.320000,5.368301,2247164
2009-01-05,6.345000,6.385000,6.100000,6.105000,5.185678,2983872
2009-01-06,6.155000,6.565000,6.125000,6.500000,5.521196,3407746
2009-01-07,6.535000,6.585000,6.380000,6.455000,5.482973,3845264
2009-01-08,6.365000,6.595000,6.325000,6.530000,5.546679,4115118
2009-01-09,6.510000,6.600000,6.490000,6.595000,5.601891,3697528
2009-01-12,6.620000,6.655000,6.470000,6.560000,5.572162,1776770
2009-01-13,6.475000,6.850000,6.475000,6.800000,5.776022,4124308
2009-01-14,6.875000,7.125000,6.825000,7.055000,5.992621,6846110
2009-01-15,7.005000,7.105000,6.950000,7.025000,5.967140,2976248
2009-01-16,7.080000,7.090000,6.955000,6.955000,5.907681,3070546
2009-01-19,7.025000,7.145000,6.990000,7.035000,5.975635,2683478
2009-01-20,7.040000,7.130000,6.975000,7.015000,5.958645,2388776
2009-01-21,7.010000,7.195000,6.300000,7.130000,6.056327,4524980
2009-01-22,7.190000,7.265000,7.105000,7.145000,6.069069,3668086
2009-01-23,7.100000,7.195000,6.975000,7.125000,6.052081,3990878
2009-01-26,7.060000,7.080000,6.940000,6.980000,5.928916,3563826
2009-01-27,6.985000,6.985000,6.625000,6.795000,5.771774,5827562
2009-01-28,6.825000,6.865000,6.750000,6.865000,5.831234,2915714
2009-01-29,6.810000,6.900000,6.805000,6.890000,5.852468,2380356
2009-01-30,6.945000,7.090000,6.775000,6.890000,5.852468,3602168
2009-02-02,6.820000,6.900000,6.680000,6.745000,5.729303,2153116
2009-02-03,6.785000,6.825000,6.645000,6.735000,5.720809,4460892
2009-02-04,6.795000,6.795000,6.460000,6.600000,5.606138,5476270
2009-02-05,6.530000,6.730000,6.500000,6.725000,5.712315,5083076
2009-02-06,6.775000,6.790000,6.680000,6.770000,5.750539,1954032
2009-02-09,6.755000,6.865000,6.740000,6.795000,5.771774,4167512
2009-02-10,6.790000,6.865000,6.710000,6.710000,5.699574,1494814
2009-02-11,6.695000,6.760000,6.525000,6.570000,5.580657,2954354
2009-02-12,6.565000,6.630000,6.460000,6.565000,5.576408,2869748
2009-02-13,6.590000,6.670000,6.460000,6.520000,5.538186,2674126
