Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,6.400000,6.590000,6.310000,6.590000,3.469649,26214848
2009-01-05,6.620000,6.760000,6.580000,6.760000,3.559155,30987966
2009-01-06,6.780000,6.820000,6.670000,6.720000,3.538095,15218230
2009-01-07,6.720000,6.740000,6.380000,6.520000,3.432794,21128010
2009-01-08,6.520000,6.570000,6.340000,6.460000,3.401204,51924880
2009-01-09,6.460000,6.530000,6.200000,6.260000,3.295905,34227348
2009-01-12,6.260000,6.290000,6.140000,6.170000,3.248518,27652592
2009-01-13,6.170000,6.210000,6.020000,6.210000,3.269578,26569716
2009-01-14,6.210000,6.290000,5.860000,5.940000,3.127423,42727332
2009-01-15,5.940000,6.050000,5.820000,5.920000,3.116893,24705466
2009-01-16,6.050000,6.150000,5.920000,5.930000,3.122158,20678510
2009-01-19,6.020000,6.150000,5.880000,5.970000,3.143218,22219590
2009-01-20,5.970000,6.210000,5.930000,6.090000,3.206398,31467634
2009-01-21,6.090000,6.140000,5.910000,6.000000,3.159014,27045552
2009-01-22,6.000000,6.190000,5.960000,6.010000,3.164278,22748956
2009-01-23,6.010000,6.140000,5.910000,6.100000,3.211663,23175962
2009-01-26,6.100000,6.190000,6.030000,6.150000,3.237988,26722236
2009-01-27,6.150000,6.190000,6.050000,6.150000,3.237988,19462364
2009-01-28,6.150000,6.290000,6.150000,6.240000,3.285374,34034484
2009-01-29,6.240000,6.240000,6.020000,6.050000,3.185339,20784592
2009-01-30,6.110000,6.130000,5.970000,6.080000,3.201133,21179080
2009-02-02,6.080000,6.080000,5.860000,5.950000,3.132689,19890664
2009-02-03,5.950000,6.090000,5.920000,6.070000,3.195869,23206912
2009-02-04,6.070000,6.080000,5.820000,6.000000,3.159014,34174440
2009-02-05,6.000000,6.000000,5.670000,5.820000,3.064243,46170264
2009-02-06,5.860000,5.870000,5.680000,5.850000,3.080038,31912890
2009-02-09,5.860000,5.890000,5.750000,5.810000,3.058978,29526820
2009-02-10,5.810000,5.880000,5.680000,5.680000,2.990533,25621216
2009-02-11,5.660000,5.680000,5.520000,5.570000,2.932618,23485420
2009-02-12,5.530000,5.560000,5.430000,5.510000,2.901028,33039920
2009-02-13,5.510000,5.630000,5.490000,5.510000,2.901028,22692552
2009-02-16,5.510000,5.520000,5.350000,5.400000,2.843112,18028900
2009-02-17,5.350000,5.670000,5.340000,5.540000,2.916822,43195230
2009-02-18,5.580000,5.580000,5.300000,5.420000,2.853642,296649664
2009-02-19,5.420000,5.750000,5.420000,5.650000,2.974738,43837124
2009-02-20,5.650000,5.680000,5.460000,5.460000,2.874702,37026100
2009-02-23,5.460000,5.550000,5.370000,5.380000,2.832582,26902384
2009-02-24,5.330000,5.360000,5.210000,5.270000,2.774667,37155392
2009-02-25,5.370000,5.460000,5.180000,5.300000,2.790462,32831580
2009-02-26,5.290000,5.440000,5.250000,5.380000,2.832582,32905134
2009-02-27,5.380000,5.380000,5.130000,5.200000,2.737811,33367448
2009-03-02,5.200000,5.200000,4.800000,4.800000,2.527211,46594200
2009-03-03,4.800000,5.010000,4.740000,4.770000,2.511415,43058900
2009-03-04,4.770000,4.970000,4.770000,4.970000,2.616716,44987656
2009-03-05,4.910000,4.970000,4.710000,4.710000,2.479825,38998172
2009-03-06,4.710000,4.830000,4.580000,4.590000,2.416645,43161808
2009-03-09,4.600000,4.620000,4.360000,4.460000,2.348201,38533980
2009-03-10,4.460000,4.780000,4.360000,4.780000,2.516681,68838072
2009-03-11,4.700000,4.840000,4.620000,4.680000,2.464031,44188700
2009-03-12,4.680000,4.900000,4.560000,4.900000,2.579861,53019140
2009-03-13,4.900000,5.080000,4.900000,5.020000,2.643041,46734252
2009-03-16,5.020000,5.340000,5.020000,5.320000,2.800992,48422028
2009-03-17,5.320000,5.400000,5.210000,5.370000,2.827317,38568644
2009-03-18,5.370000,5.470000,5.240000,5.350000,2.816787,29171708
2009-03-19,5.350000,5.500000,5.340000,5.400000,2.843112,32900188
2009-03-20,5.300000,5.490000,5.250000,5.450000,2.869437,34841880
2009-03-23,5.450000,5.700000,5.450000,5.650000,2.974738,49351320
2009-03-24,5.760000,5.770000,5.550000,5.630000,2.964207,48741168
2009-03-25,5.630000,5.810000,5.590000,5.760000,3.032653,43890272
2009-03-26,5.760000,5.770000,5.560000,5.630000,2.964207,34293500
2009-03-27,5.630000,5.630000,5.370000,5.430000,2.858907,36605488
2009-03-30,5.430000,5.430000,5.140000,5.150000,2.711487,31323238
2009-03-31,5.150000,5.280000,5.150000,5.280000,2.779932,33648936
2009-04-01,5.280000,5.390000,5.130000,5.350000,2.816787,36469956
2009-04-02,5.350000,5.550000,5.350000,5.490000,2.890497,54904164
2009-04-03,5.490000,5.580000,5.380000,5.500000,2.895762,41416952
2009-04-06,5.590000,5.650000,5.410000,5.500000,2.895762,28740610
2009-04-07,5.550000,5.670000,5.500000,5.580000,2.937883,32202852
2009-04-08,5.580000,5.630000,5.470000,5.620000,2.958942,21334492
2009-04-09,5.620000,5.740000,5.600000,5.700000,3.001063,23973478
2009-04-14,5.700000,5.840000,5.640000,5.780000,3.043183,33273276
2009-04-15,5.780000,5.790000,5.620000,5.630000,2.964207,47614296
2009-04-16,5.630000,5.810000,5.610000,5.730000,3.016857,30875996
2009-04-17,5.730000,5.850000,5.710000,5.850000,3.080038,42268360
2009-04-20,5.850000,5.850000,5.650000,5.680000,2.990533,36333888
2009-04-21,5.680000,5.760000,5.530000,5.700000,3.001063,44374428
2009-04-22,5.700000,5.870000,5.630000,5.830000,3.069508,34302176
2009-04-23,5.800000,5.860000,5.710000,5.800000,3.053713,33931484
2009-04-24,5.800000,5.900000,5.760000,5.870000,3.090568,28846560
2009-04-27,5.870000,5.870000,5.710000,5.800000,3.053713,30754486
2009-04-28,5.800000,5.800000,5.570000,5.700000,3.001063,32725968
2009-04-29,5.790000,5.920000,5.760000,5.880000,3.095833,33716248
2009-04-30,5.880000,6.060000,5.880000,6.000000,3.159014,64548352
2009-05-04,6.000000,6.090000,5.950000,6.060000,3.190604,31936594
2009-05-05,6.020000,6.120000,6.000000,6.020000,3.169543,29563432
2009-05-06,6.020000,6.120000,5.970000,6.090000,3.206398,26178850
2009-05-07,6.090000,6.210000,6.050000,6.100000,3.211663,31892528
2009-05-08,6.100000,6.170000,6.020000,6.170000,3.248518,29948490
2009-05-11,6.170000,6.170000,6.010000,6.070000,3.195869,22396910
2009-05-12,6.070000,6.170000,6.030000,6.070000,3.195869,41918412
2009-05-13,6.130000,6.130000,5.910000,5.950000,3.132689,38191744
2009-05-14,5.950000,5.970000,5.810000,5.910000,3.111628,31541458
2009-05-15,5.970000,6.010000,5.880000,5.910000,3.111628,35701100
2009-05-18,5.910000,5.930000,5.750000,5.930000,3.122158,37464248
2009-05-19,5.930000,6.070000,5.930000,6.020000,3.169543,33133568
2009-05-20,6.020000,6.170000,6.020000,6.120000,3.222194,35486564
2009-05-21,6.120000,6.120000,5.980000,6.000000,3.159014,27439728
2009-05-22,6.060000,6.140000,5.980000,6.040000,3.180074,17669330
2009-05-25,6.040000,6.110000,5.920000,6.070000,3.195869,16303896
2009-05-26,6.070000,6.130000,5.960000,6.100000,3.211663,30500640
2009-05-27,6.100000,6.160000,6.040000,6.120000,3.222194,31517790
2009-05-28,6.120000,6.130000,6.020000,6.060000,3.190604,39417376
2009-05-29,6.060000,6.120000,5.990000,6.030000,3.174809,33018396
2009-06-01,6.070000,6.180000,6.060000,6.120000,3.222194,25829020
2009-06-02,6.120000,6.270000,6.090000,6.190000,3.259049,41224060
