Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,6.400000,6.688000,6.336000,6.688000,5.294239,6492915
2009-01-05,6.690000,6.770000,6.414000,6.594000,5.219828,10614345
2009-01-06,6.772000,6.898000,6.700000,6.850000,5.422478,10555805
2009-01-07,6.832000,6.850000,6.512000,6.532000,5.170749,10178395
2009-01-08,6.486000,6.594000,6.116000,6.170000,4.884189,16319315
2009-01-09,6.254000,6.254000,6.052000,6.060000,4.797112,12873945
2009-01-12,6.100000,6.150000,5.946000,5.980000,4.733784,10345480
2009-01-13,5.920000,6.034000,5.864000,5.960000,4.717952,13304465
2009-01-14,6.130000,6.130000,5.724000,5.822000,4.608711,13634595
2009-01-15,5.850000,5.850000,5.532000,5.586000,4.421893,24699740
2009-01-16,5.664000,5.880000,5.642000,5.806000,4.596046,12439410
2009-01-19,5.880000,5.896000,5.622000,5.736000,4.540633,7792665
2009-01-20,5.682000,5.766000,5.512000,5.544000,4.388646,7601315
2009-01-21,5.544000,5.716000,5.540000,5.714000,4.523218,9855615
2009-01-22,5.780000,5.832000,5.662000,5.684000,4.499469,7233800
2009-01-23,5.666000,5.910000,5.584000,5.840000,4.622960,8784465
2009-01-26,5.808000,5.954000,5.702000,5.880000,4.654624,11544130
2009-01-27,5.880000,5.880000,5.720000,5.846000,4.627708,6763970
2009-01-28,5.918000,6.008000,5.858000,5.982000,4.735366,11116230
2009-01-29,5.960000,5.970000,5.764000,5.852000,4.632459,6425665
2009-01-30,5.852000,6.030000,5.840000,5.976000,4.730619,11376370
2009-02-02,5.854000,5.960000,5.774000,5.900000,4.670455,5691855
2009-02-03,5.956000,5.980000,5.834000,5.918000,4.684706,10815105
2009-02-04,5.954000,6.196000,5.926000,6.142000,4.862024,10207055
2009-02-05,6.096000,6.200000,5.984000,6.122000,4.846191,12635845
2009-02-06,6.176000,6.290000,6.130000,6.290000,4.979181,7508690
2009-02-09,6.278000,6.550000,6.132000,6.482000,5.131168,12544240
2009-02-10,6.402000,6.474000,6.256000,6.256000,4.952267,6023085
2009-02-11,6.160000,6.474000,6.160000,6.428000,5.088422,8110360
2009-02-12,6.372000,6.420000,6.050000,6.200000,4.907936,9638855
2009-02-13,6.258000,6.396000,6.220000,6.340000,5.018762,6107500
2009-02-16,6.276000,6.350000,6.172000,6.300000,4.987096,6621760
2009-02-17,6.244000,6.300000,5.902000,5.956000,4.714785,9301385
2009-02-18,6.002000,6.068000,5.900000,5.950000,4.710037,9826115
2009-02-19,5.992000,6.156000,5.958000,6.034000,4.776531,9511105
2009-02-20,6.000000,6.016000,5.820000,5.842000,4.624543,18386940
2009-02-23,5.918000,5.958000,5.782000,5.854000,4.634043,8022480
2009-02-24,5.766000,5.946000,5.724000,5.916000,4.683121,10140185
2009-02-25,5.976000,6.022000,5.768000,5.832000,4.616627,9875660
2009-02-26,5.838000,5.968000,5.804000,5.890000,4.662539,7141490
2009-02-27,5.900000,6.030000,5.786000,5.986000,4.738533,16079685
2009-03-02,5.850000,5.920000,5.684000,5.730000,4.535882,9215195
2009-03-03,5.730000,5.798000,5.660000,5.708000,4.518468,6266145
2009-03-04,5.746000,5.818000,5.418000,5.522000,4.371230,16299770
2009-03-05,5.400000,5.434000,4.938000,4.952000,3.920017,38259090
