Date,Open,High,Low,Close,Adj Close,Volume
2014-07-01,8.609279,9.071907,8.591655,8.882450,7.289217,2756053
2014-07-02,8.886856,9.155620,8.829578,9.111561,7.477232,3859368
2014-07-03,9.120373,9.384731,9.063095,9.208492,7.556777,8637327
2014-07-04,9.384731,9.384731,9.080719,9.305424,7.636321,8488663
2014-07-07,9.252552,9.270176,9.164432,9.243740,7.585702,1989576
2014-07-08,9.239334,9.239334,9.010223,9.076313,7.448306,921233
2014-07-09,9.093937,9.093937,8.952945,8.988193,7.375993,2403955
2014-07-10,9.014629,9.032253,8.811954,8.811954,7.231364,307960
2014-07-11,9.102749,9.102749,8.811954,8.811954,7.231364,139579
2014-07-14,8.930916,8.935322,8.715023,8.856014,7.267522,1275836
2014-07-15,8.900074,8.900074,8.741459,8.811954,7.231364,239095
2014-07-16,8.803142,8.856014,8.803142,8.856014,7.267522,294746
2014-07-17,8.811954,8.856014,8.810192,8.811954,7.231364,151327
2014-07-18,8.847202,8.847202,8.732647,8.767894,7.195207,243449
2014-07-21,8.829578,8.838390,8.733528,8.811954,7.231364,129990
2014-07-22,8.811954,8.820766,8.803142,8.811954,7.231364,181931
2014-07-23,8.829578,8.829578,8.734409,8.811954,7.231364,142280
2014-07-24,8.820766,8.829578,8.811954,8.829578,7.245829,68292
2014-07-25,8.811954,8.820766,8.803142,8.811954,7.231364,230500
2014-07-28,8.803142,8.811954,8.737934,8.811954,7.231364,340346
2014-07-29,8.803142,8.829578,8.733528,8.803142,7.224133,169567
2014-07-30,8.803142,8.811954,8.723835,8.803142,7.224133,180477
2014-07-31,8.767894,8.807548,8.706211,8.706211,7.144588,292834
2014-08-01,8.767894,8.767894,8.371356,8.512348,6.985498,610302
2014-08-04,8.626903,8.723835,8.371356,8.415416,6.905952,355472
2014-08-05,8.089374,8.366950,8.089374,8.213622,6.740355,784981
2014-08-06,8.208335,8.314079,8.106998,8.136958,6.677443,415885
2014-08-07,8.144008,8.477100,8.142246,8.292049,6.804716,991053
2014-08-08,8.252395,8.512348,8.018878,8.150176,6.688290,681700
2014-08-11,8.155464,8.263851,8.151058,8.195117,6.725169,292196
2014-08-12,8.195117,8.635715,8.156345,8.234771,6.757710,488461
2014-08-13,8.230365,8.489437,8.036502,8.084968,6.634778,586445
2014-08-14,8.070869,8.467407,8.018878,8.433040,6.920417,296963
2014-08-15,8.180137,8.548477,8.041789,8.283237,6.797483,471478
2014-08-18,8.265613,8.362544,8.133434,8.195117,6.725169,962047
2014-08-19,8.221553,8.283237,8.151058,8.283237,6.797483,369155
2014-08-20,8.199523,8.450664,8.170444,8.195117,6.725169,362067
2014-08-21,8.169563,8.283237,8.169563,8.178375,6.711431,142429
2014-08-22,8.181899,8.318485,8.178375,8.283237,6.797483,375786
2014-08-25,8.366950,8.600467,8.222434,8.600467,7.057812,441343
2014-08-26,8.490318,8.596061,8.329059,8.459476,6.942111,182346
2014-08-27,8.565219,8.635715,8.403079,8.626903,7.079506,268332
2014-08-28,8.506179,8.722953,8.476219,8.722953,7.158329,194735
2014-08-29,8.704448,8.810192,8.604873,8.806667,7.227026,119528
2014-09-01,8.776706,8.799617,8.626903,8.723835,7.159052,79729
2014-09-02,8.798736,8.803142,8.674488,8.798736,7.220519,1268644
2014-09-03,8.811954,8.811954,8.723835,8.723835,7.159052,422872
2014-09-04,8.380168,8.900074,8.380168,8.900074,7.303679,1043593
2014-09-05,8.891262,9.027847,8.820766,8.891262,7.296449,969640
2014-09-08,8.900074,8.970569,8.785518,8.900074,7.303679,384281
2014-09-09,8.979381,8.979381,8.767894,8.767894,7.195207,943700
2014-09-10,8.811954,8.811954,8.592536,8.670963,7.115664,153972
2014-09-11,8.688587,8.811954,8.644527,8.644527,7.093970,110847
2014-09-12,8.679775,8.801380,8.645408,8.739696,7.172068,90608
2014-09-15,8.606636,8.692993,8.591655,8.591655,7.050581,146423
2014-09-16,8.591655,8.767013,8.547596,8.547596,7.014425,86215
2014-09-17,8.635715,8.678894,8.547596,8.635715,7.086737,409407
2014-09-18,8.757320,8.829578,8.547596,8.829578,7.245829,381427
2014-09-19,8.781112,9.076313,8.781112,9.076313,7.448306,622429
2014-09-22,8.811954,8.944133,8.745864,8.856014,7.267522,444838
2014-09-23,8.811954,8.856014,8.660389,8.754676,7.184360,270830
2014-09-24,8.662151,8.794330,8.662151,8.741459,7.173515,180284
2014-09-25,8.759082,8.811954,8.682418,8.723835,7.159052,349514
2014-09-26,8.809311,8.809311,8.643646,8.643646,7.093246,299799
2014-09-29,8.742340,8.793449,8.642765,8.692993,7.133742,368495
2014-09-30,8.715023,8.856014,8.676250,8.856014,7.267522,198826
2014-10-01,8.882450,8.882450,8.700042,8.723835,7.159052,2874220
2014-10-02,8.723835,8.735290,8.635715,8.686824,7.128679,600874
2014-10-03,8.900074,8.939727,8.678894,8.820766,7.238596,961976
2014-10-06,8.882450,8.882450,8.771419,8.838390,7.253060,293525
2014-10-07,8.873638,8.873638,8.655101,8.723835,7.159052,162054
2014-10-08,8.794330,8.794330,8.644527,8.644527,7.093970,536961
2014-10-09,8.759082,8.847202,8.729122,8.776706,7.202439,605463
2014-10-10,8.810192,8.810192,8.644527,8.723835,7.159052,1258425
2014-10-13,8.767013,8.829578,8.723835,8.803142,7.224133,493367
2014-10-14,8.809311,8.829578,8.767894,8.767894,7.195207,1049935
2014-10-15,8.776706,8.811954,8.547596,8.547596,7.014425,656808
2014-10-16,8.678894,8.723835,8.292049,8.292049,6.804716,3624756
2014-10-17,8.371356,8.494724,8.292049,8.292049,6.804716,652658
2014-10-20,8.300861,8.459476,8.287643,8.388980,6.884259,1516966
2014-10-21,8.459476,8.459476,8.327297,8.327297,6.833641,759031
2014-10-22,8.503536,8.503536,8.371356,8.403961,6.896554,476952
2014-10-23,8.446258,8.449783,8.239177,8.344921,6.848103,400613
2014-10-24,8.327297,8.371356,8.256801,8.371356,6.869796,585635
2014-10-27,8.415416,8.415416,8.254157,8.254157,6.773620,91341
2014-10-28,8.212741,8.342277,8.151058,8.303504,6.814116,461119
2014-10-29,8.283237,8.336109,8.257682,8.336109,6.840871,211479
2014-10-30,8.133434,8.327297,8.133434,8.318485,6.826409,156107
2014-10-31,8.342277,8.344921,8.241821,8.327297,6.833641,766589
2014-11-03,8.283237,8.371356,8.283237,8.371356,6.869796,1025439
2014-11-04,8.448020,8.458595,8.283237,8.283237,6.797483,346776
2014-11-05,8.371356,8.413654,8.296455,8.300861,6.811947,285861
2014-11-06,8.312316,8.483268,8.288524,8.355495,6.856781,438185
2014-11-07,8.456832,8.459476,8.371356,8.371356,6.869796,339974
2014-11-10,8.420703,8.420703,8.329059,8.411010,6.902338,1336162
2014-11-11,8.341396,8.780231,8.323772,8.669200,7.114216,409342
2014-11-12,8.729122,8.776706,8.644527,8.776706,7.202439,1035088
2014-11-13,8.793449,8.793449,8.672725,8.752914,7.182916,256004
2014-11-14,8.694755,8.792568,8.694755,8.767894,7.195207,269266
2014-11-17,8.767894,8.767894,8.644527,8.723835,7.159052,332397
2014-11-18,8.767894,8.767894,8.686824,8.767894,7.195207,1856761
2014-11-19,8.767013,8.767894,8.666557,8.723835,7.159052,291527
2014-11-20,8.654220,8.793449,8.652458,8.723835,7.159052,510601
2014-11-21,8.679775,8.811954,8.657745,8.794330,7.216903,745789
2014-11-24,8.785518,8.803142,8.723835,8.723835,7.159052,441849
2014-11-25,8.785518,8.785518,8.646289,8.715904,7.152544,2043014
2014-11-26,8.688587,8.811954,8.688587,8.783756,7.208225,215793
2014-11-27,8.710617,8.789924,8.710617,8.785518,7.209671,439367
2014-11-28,8.784637,8.785518,8.656864,8.776706,7.202439,328986
2014-12-01,8.793449,8.794330,8.751152,8.785518,7.209671,348842
2014-12-02,8.789043,8.789043,8.722953,8.776706,7.202439,535581
2014-12-03,8.715023,8.759082,8.688587,8.723835,7.159052,87323
2014-12-04,8.723835,8.784637,8.681537,8.723835,7.159052,335226
