Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,2.352301,2.461479,2.352301,2.461479,1.128867,2415718
2009-01-05,2.461479,2.481330,2.411852,2.461479,1.128867,3910155
2009-01-06,2.481330,2.630210,2.471404,2.630210,1.206250,3852195
2009-01-07,2.610359,2.610359,2.540882,2.600434,1.192594,3356227
2009-01-08,2.530956,2.610359,2.511106,2.580583,1.183490,4533605
2009-01-09,2.610359,2.610359,2.521031,2.521031,1.156179,2657055
2009-01-12,2.501180,2.560732,2.491255,2.530956,1.160731,3771093
2009-01-13,2.501180,2.501180,2.431703,2.471404,1.133419,3942132
2009-01-14,2.501180,2.511106,2.401927,2.431703,1.115212,6439321
2009-01-15,2.401927,2.461479,2.382077,2.451554,1.124316,2681538
2009-01-16,2.461479,2.501180,2.431703,2.431703,1.115212,4384251
2009-01-19,2.421778,2.461479,2.153794,2.183570,1.001414,15099844
2009-01-20,2.193495,2.193495,2.064466,2.133944,0.978655,11112859
2009-01-21,2.124018,2.183570,1.994989,2.183570,1.001414,14069136
2009-01-22,2.213346,2.223271,2.074392,2.094242,0.960448,11206357
2009-01-23,2.084317,2.114093,1.994989,2.054541,0.942240,6391745
2009-01-26,2.024765,2.183570,1.994989,2.153794,0.987759,9410779
2009-01-27,2.163719,2.163719,2.064466,2.094242,0.960448,4890916
2009-01-28,2.124018,2.243122,2.104168,2.243122,1.028726,8553384
2009-01-29,2.253047,2.322525,2.173645,2.203421,1.010519,9702835
2009-01-30,2.223271,2.253047,2.133944,2.193495,1.005966,6709872
2009-02-02,2.133944,2.213346,2.034690,2.213346,1.015070,11088316
2009-02-03,2.223271,2.233197,2.104168,2.124018,0.974103,12155415
2009-02-04,2.143869,2.302674,2.133944,2.272898,1.042382,11300883
2009-02-05,2.223271,2.292749,2.203421,2.272898,1.042382,6429676
2009-02-06,2.302674,2.302674,2.223271,2.223271,1.019622,4786668
2009-02-09,2.223271,2.233197,2.193495,2.223271,1.019622,6611999
2009-02-10,2.223271,2.272898,2.203421,2.253047,1.033278,4907539
2009-02-11,2.213346,2.292749,2.203421,2.282823,1.046934,5037865
2009-02-12,2.282823,2.302674,2.243122,2.272898,1.042382,6549942
2009-02-13,2.282823,2.292749,2.133944,2.133944,0.978655,12270615
2009-02-16,2.133944,2.143869,2.064466,2.084317,0.955896,4246454
2009-02-17,2.084317,2.084317,2.014840,2.054541,0.942240,6916926
2009-02-18,2.064466,2.084317,1.994989,2.004914,0.919481,8351763
2009-02-19,2.024765,2.044616,1.985064,1.985064,0.910377,19084420
2009-02-20,1.965213,1.965213,1.846109,1.846109,0.846650,11684811
