Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,4.220000,4.460000,4.220000,4.400000,3.972993,249983
2009-01-05,4.400000,4.510000,4.400000,4.430000,4.000081,297630
2009-01-06,4.480000,4.480000,4.270000,4.270000,3.855609,123337
2009-01-07,4.260000,4.400000,4.260000,4.340000,3.918815,135508
2009-01-08,4.310000,4.350000,4.120000,4.200000,3.792402,185394
2009-01-09,4.250000,4.270000,4.090000,4.230000,3.819491,188815
2009-01-12,4.250000,4.270000,4.130000,4.250000,3.837549,157048
2009-01-13,4.220000,4.240000,4.110000,4.240000,3.828520,219309
2009-01-14,4.250000,4.300000,4.000000,4.070000,3.675019,123095
2009-01-15,3.900000,3.990000,3.870000,3.910000,3.530546,84250
2009-01-16,3.970000,4.040000,3.910000,3.910000,3.530546,94253
2009-01-19,4.000000,4.000000,3.650000,3.740000,3.377044,212952
2009-01-20,3.730000,3.870000,3.600000,3.720000,3.358985,341450
2009-01-21,3.710000,3.770000,3.560000,3.750000,3.386073,332016
2009-01-22,3.850000,3.900000,3.640000,3.650000,3.295778,148166
2009-01-23,3.820000,3.820000,3.520000,3.550000,3.205483,264901
2009-01-26,3.590000,3.700000,3.560000,3.680000,3.322867,198236
2009-01-27,3.650000,3.730000,3.620000,3.730000,3.368014,184909
2009-01-28,3.840000,3.970000,3.790000,3.930000,3.548605,471281
2009-01-29,3.890000,4.040000,3.820000,3.950000,3.566664,378513
2009-01-30,4.390000,4.390000,3.870000,3.950000,3.566664,234903
2009-02-02,4.000000,4.000000,3.800000,3.870000,3.494428,66478
2009-02-03,3.920000,4.020000,3.820000,3.950000,3.566664,177963
2009-02-04,4.000000,4.090000,3.950000,4.080000,3.684047,114044
2009-02-05,3.990000,4.060000,3.980000,4.050000,3.656959,134492
2009-02-06,4.000000,4.170000,4.000000,4.110000,3.711137,225837
2009-02-09,3.960000,4.230000,3.960000,4.200000,3.792402,97428
2009-02-10,4.160000,4.220000,4.110000,4.170000,3.765314,113285
2009-02-11,4.140000,4.140000,3.970000,3.970000,3.584723,151832
2009-02-12,3.970000,4.010000,3.850000,3.850000,3.476369,115994
2009-02-13,3.860000,4.020000,3.760000,3.790000,3.422191,255455
2009-02-16,3.950000,3.950000,3.650000,3.670000,3.313838,182064
2009-02-17,3.670000,3.720000,3.540000,3.610000,3.259660,143953
