Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,16.197792,17.015347,16.197792,17.015347,7.521795,1008723
2009-01-05,17.074961,17.832903,17.074961,17.832903,7.883204,1566060
2009-01-06,17.918064,18.582327,17.918064,18.326841,8.101552,1253623
2009-01-07,18.497164,18.974072,18.062840,18.718584,8.274727,2451193
2009-01-08,18.003225,18.139484,17.449673,17.875483,8.078444,2566780
2009-01-09,18.020258,18.165033,17.534836,18.165033,8.209299,1664171
2009-01-12,18.139484,18.343872,17.730707,17.781803,8.036110,1213723
2009-01-13,17.602964,17.798838,17.279348,17.628513,7.966830,1831981
2009-01-14,17.943611,17.986193,17.057928,17.160124,7.755150,1113845
2009-01-15,17.100510,17.560385,16.989799,17.424126,7.874462,1349985
2009-01-16,17.645544,17.909548,17.355995,17.509287,7.912949,1028364
2009-01-19,17.773289,17.909548,17.194187,17.483738,7.901403,1041089
2009-01-20,17.381544,17.764772,17.287865,17.398577,7.862917,804289
2009-01-21,17.236769,17.373028,16.538441,16.819475,7.601203,1259288
2009-01-22,17.040895,17.202703,16.265923,16.444763,7.431860,1046133
2009-01-23,16.334051,16.623604,16.053019,16.444763,7.431860,1039367
2009-01-26,16.240374,16.836508,16.231857,16.606569,7.504987,969889
2009-01-27,16.615086,16.717281,16.087084,16.538441,7.474196,1347941
2009-01-28,16.862057,16.896120,16.521408,16.827991,7.605052,761975
2009-01-29,16.776894,16.913153,16.018953,16.155212,7.301004,1215886
2009-01-30,16.223343,16.257406,15.797532,16.053019,7.254821,1106849
2009-02-02,16.010437,16.087084,15.167334,15.465401,6.989259,1326034
2009-02-03,15.678306,15.857146,15.380239,15.848629,7.162449,918814
2009-02-04,15.848629,15.848629,14.698944,15.201399,6.869948,3352827
2009-02-05,15.124753,15.124753,14.128359,14.673395,6.631328,2863274
2009-02-06,14.852235,14.886300,14.290167,14.630814,6.612086,1809966
2009-02-09,14.341264,14.809654,14.145391,14.809654,6.692910,1593637
2009-02-10,14.860751,15.278045,14.332747,14.477523,6.542809,1375163
2009-02-11,14.392361,14.596749,14.264618,14.494555,6.550504,1197521
2009-02-12,14.366812,14.503071,14.094294,14.298683,6.461985,1477490
2009-02-13,14.383845,14.733008,13.975068,14.085778,6.365767,1446062
2009-02-16,13.941003,13.992100,13.651452,13.685517,6.184879,1040320
2009-02-17,13.625904,13.889906,13.412999,13.736614,6.207970,1277175
2009-02-18,13.796228,13.915454,13.481128,13.677001,6.181030,792056
2009-02-19,13.677001,13.830292,13.574807,13.574807,6.134845,1057211
2009-02-20,13.481128,13.506677,13.106416,13.106416,5.923166,1229548
2009-02-23,13.276740,13.600355,13.080868,13.080868,5.911619,1146116
2009-02-24,12.859447,13.319321,12.825382,13.072351,5.907769,981316
2009-02-25,13.157513,13.259708,12.484734,12.757252,5.765368,1108040
2009-02-26,12.731704,13.157513,12.697639,12.893511,5.826948,953022
2009-02-27,12.893511,12.893511,11.939698,12.186668,5.507504,1852127
2009-03-02,12.186668,12.186668,11.369113,11.454275,5.176517,1539153
2009-03-03,11.454275,11.675696,11.198790,11.403178,5.153424,1376020
2009-03-04,11.454275,11.786407,11.369113,11.667180,5.272734,1233216
2009-03-05,11.633115,11.726793,10.977369,11.002917,4.972534,1300969
2009-03-06,11.002917,11.190273,10.585624,10.662270,4.818585,1805771
2009-03-09,10.721883,10.721883,10.398268,10.543043,4.764704,1158627
2009-03-10,10.602656,10.730399,9.206001,9.734005,4.399076,4435141
2009-03-11,9.606262,10.159814,9.376325,9.963942,4.502992,1950341
2009-03-12,10.057620,10.134266,9.742521,9.980974,4.510687,940711
2009-03-13,10.176847,10.202395,9.376325,9.470003,4.279766,2323670
2009-03-16,9.470000,9.590000,9.320000,9.480000,4.284284,3072253
2009-03-17,9.400000,9.430000,8.520000,8.750000,3.954376,5492585
2009-03-18,8.780000,8.950000,8.550000,8.700000,3.931780,4099177
2009-03-19,8.700000,8.750000,8.500000,8.530000,3.854951,3804874
2009-03-20,8.410000,8.570000,8.390000,8.490000,3.836874,3671781
2009-03-23,8.490000,8.950000,8.470000,8.900000,4.022164,9518867
2009-03-24,9.320000,9.970000,9.250000,9.830000,4.442458,10727330
2009-03-25,10.050000,10.650000,9.930000,10.510000,4.749771,8109750
2009-03-26,10.510000,10.950000,10.170000,10.820000,4.889867,9910418
2009-03-27,10.820000,10.840000,10.320000,10.650000,4.813040,6881447
2009-03-30,10.650000,10.910000,10.320000,10.780000,4.871791,4847343
2009-03-31,10.850000,10.850000,10.140000,10.290000,4.650346,4642913
2009-04-01,10.120000,11.100000,9.720000,10.690000,4.831117,5518959
2009-04-02,10.850000,11.040000,10.600000,11.040000,4.989293,5637611
2009-04-03,10.290000,10.750000,10.140000,10.550000,4.767847,10339820
2009-04-06,10.700000,10.850000,10.470000,10.620000,4.799482,6012588
2009-04-07,10.730000,10.940000,10.630000,10.940000,4.944099,3173726
2009-04-08,10.750000,11.020000,10.630000,11.000000,4.971217,2621222
2009-04-09,11.070000,11.190000,10.830000,11.000000,4.971217,3919107
2009-04-14,11.000000,11.210000,10.930000,11.000000,4.971217,3980709
