Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,9.125000,9.125000,8.935000,8.987500,4.510446,1881456
2009-01-05,9.070000,9.075000,8.855000,8.957500,4.495389,2532420
2009-01-06,8.995000,9.072500,8.932500,8.962500,4.497899,1662616
2009-01-07,8.962500,9.062500,8.807500,9.000000,4.516720,4254436
2009-01-08,8.912500,9.227500,8.905000,9.052500,4.543067,2420832
2009-01-09,9.127500,9.162500,8.932500,8.990000,4.511702,2783648
2009-01-12,9.012500,9.012500,8.782500,8.797500,4.415093,2220592
2009-01-13,8.712500,8.880000,8.700000,8.872500,4.452733,1675008
2009-01-14,9.000000,9.000000,8.695000,8.765000,4.398783,1954764
2009-01-15,8.845000,8.900000,8.687500,8.900000,4.466533,2152872
2009-01-16,8.950000,8.987500,8.722500,8.750000,4.391255,2301784
2009-01-19,8.875000,8.895000,8.682500,8.795000,4.413839,2106776
2009-01-20,8.737500,8.912500,8.672500,8.782500,4.407565,2011668
2009-01-21,8.760000,8.822500,8.437500,8.500000,4.265791,3629688
2009-01-22,8.512500,8.607500,8.357500,8.447500,4.239443,7994632
2009-01-23,8.447500,8.497500,8.277500,8.322500,4.176712,6366108
2009-01-26,8.197500,8.275000,8.052500,8.137500,4.083867,8466876
2009-01-27,8.240000,8.280000,8.127500,8.225000,4.127779,3558272
2009-01-28,8.297500,8.335000,8.085000,8.142500,4.086376,5608048
2009-01-29,8.127500,8.245000,7.987500,8.030000,4.029917,3182340
2009-01-30,8.037500,8.100000,7.950000,8.050000,4.039956,2076184
2009-02-02,8.002500,8.032500,7.822500,7.870000,3.949620,2881104
2009-02-03,7.872500,8.027500,7.820000,8.012500,4.021135,2945952
2009-02-04,8.030000,8.212500,7.947500,8.200000,4.115233,2595336
2009-02-05,8.125000,8.312500,8.007500,8.205000,4.117743,3450084
2009-02-06,8.225000,8.375000,8.210000,8.375000,4.203058,2036860
2009-02-09,8.287500,8.387500,8.250000,8.327500,4.179220,2637716
2009-02-10,8.330000,8.412500,8.285000,8.312500,4.171693,2455200
2009-02-11,8.250000,8.297500,8.140000,8.210000,4.120252,5106344
2009-02-12,8.210000,8.322500,8.077500,8.190000,4.110215,1801076
2009-02-13,8.235000,8.277500,7.950000,7.962500,3.996042,2281516
2009-02-16,7.955000,8.012500,7.807500,7.905000,3.967186,2099832
2009-02-17,7.877500,7.917500,7.765000,7.800000,3.914490,1998996
