Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,6.266007,6.498082,6.247441,6.498082,2.748330,59394552
2009-01-05,6.563062,6.637326,6.516648,6.637326,2.807223,61010810
2009-01-06,6.637326,6.795137,6.590911,6.720873,2.842559,38318855
2009-01-07,6.720873,6.720873,6.563062,6.637326,2.807223,60663387
2009-01-08,6.637326,6.637326,6.423818,6.498082,2.748330,106908784
2009-01-09,6.535214,6.563062,6.349554,6.442384,2.724773,49414495
2009-01-12,6.442384,6.460950,6.284573,6.349554,2.685512,89378161
2009-01-13,6.349554,6.349554,6.033933,6.136046,2.595209,97613703
2009-01-14,6.136046,6.154612,5.579067,5.662614,2.394974,136043790
2009-01-15,5.662614,5.764727,5.514086,5.644048,2.387121,118393671
2009-01-16,5.857556,5.968952,5.671897,5.671897,2.398899,80499305
2009-01-19,5.671897,5.792576,5.235597,5.393408,2.281114,136993692
2009-01-20,5.402691,5.504803,4.882844,4.984957,2.108362,132026000
2009-01-21,4.910693,5.179899,4.715751,5.003523,2.116215,143083340
2009-01-22,5.003523,5.263446,4.873561,4.975674,2.104436,242034592
2009-01-23,4.975674,5.049938,4.762165,4.966391,2.100510,79289068
2009-01-26,4.919976,5.319144,4.892127,5.254163,2.222221,104385086
2009-01-27,5.254163,5.346993,5.142767,5.337710,2.257557,171130285
2009-01-28,5.337710,6.098914,5.300578,6.052499,2.559873,143139895
2009-01-29,6.052499,6.052499,5.746161,5.903971,2.497054,116996843
2009-01-30,5.903971,5.903971,5.653331,5.866839,2.481349,146170372
2009-02-02,5.755444,5.755444,5.356276,5.495520,2.370413,104338754
2009-02-03,5.495520,5.606916,5.393408,5.588350,2.410453,325481431
2009-02-04,5.588350,5.783293,5.504803,5.709029,2.462507,130662463
2009-02-05,5.709029,5.709029,5.356276,5.644048,2.434478,142090317
2009-02-06,5.644048,5.764727,5.588350,5.644048,2.434478,204314045
2009-02-09,5.644048,5.681180,5.569784,5.644048,2.434478,143768504
2009-02-10,5.644048,5.727595,5.458389,5.467671,2.358401,141561504
2009-02-11,5.467671,5.532652,5.319144,5.449106,2.350392,155889963
2009-02-12,5.449106,5.449106,5.217031,5.300578,2.286328,90261413
2009-02-13,5.300578,5.467671,5.244880,5.309861,2.290331,119768265
2009-02-16,5.244880,5.263446,5.096353,5.096353,2.198238,57060869
2009-02-17,5.096353,5.096353,4.697185,4.752882,2.050087,141471567
2009-02-18,4.752882,4.873561,4.669336,4.845712,2.090127,120297406
2009-02-19,4.845712,4.938542,4.734317,4.827146,2.082119,103363989
2009-02-20,4.827146,4.827146,4.548657,4.567223,1.970005,158181005
2009-02-23,4.725034,4.762165,4.455827,4.492959,1.937972,95468332
2009-02-24,4.492959,4.539374,4.279451,4.362998,1.881916,126619431
2009-02-25,4.362998,4.613638,4.335149,4.483676,1.933969,124415689
2009-02-26,4.483676,4.790014,4.483676,4.771448,2.058095,110550944
2009-02-27,4.771448,4.771448,4.455827,4.548657,1.961997,124711129
2009-03-02,4.548657,4.548657,4.177338,4.177338,1.801834,128318800
2009-03-03,4.177338,4.288734,4.103074,4.103074,1.769801,108197465
2009-03-04,4.103074,4.270168,4.103074,4.260885,1.837871,117629503
2009-03-05,4.260885,4.260885,3.926698,3.935981,1.697728,106750628
2009-03-06,3.935981,4.038093,3.694623,3.843151,1.657687,131321778
2009-03-09,3.843151,3.908132,3.638926,3.713189,1.601630,150613551
2009-03-10,3.713189,4.177338,3.666774,4.177338,1.801834,132352421
2009-03-11,4.177338,4.455827,4.075225,4.298017,1.853888,154671802
2009-03-12,4.298017,4.455827,4.038093,4.437261,1.913948,113488976
2009-03-13,4.437261,4.697185,4.437261,4.576506,1.974009,141663144
2009-03-16,4.576506,4.817863,4.576506,4.762165,2.054091,133904906
2009-03-17,4.762165,4.790014,4.595072,4.743599,2.046082,108156280
2009-03-18,4.743599,4.929259,4.622921,4.734317,2.042078,104669131
2009-03-19,4.734317,4.966391,4.734317,4.827146,2.082119,110811705
2009-03-20,4.827146,4.827146,4.567223,4.827146,2.082119,210662183
2009-03-23,4.827146,5.049938,4.827146,5.049938,2.178217,176766909
2009-03-24,5.049938,5.235597,4.975674,5.077787,2.190230,161843055
2009-03-25,5.077787,5.170616,4.966391,5.077787,2.190230,141618063
2009-03-26,5.105635,5.170616,5.003523,5.124201,2.210249,78065397
2009-03-27,5.124201,5.189182,4.957108,4.957108,2.138177,71149914
2009-03-30,4.957108,4.957108,4.567223,4.585789,1.978014,99845255
2009-03-31,4.585789,4.817863,4.585789,4.817863,2.078115,89019569
2009-04-01,4.734317,5.049938,4.632204,5.003523,2.158197,106842283
2009-04-02,5.003523,5.486237,5.003523,5.476954,2.362405,261788571
2009-04-03,5.476954,5.616199,5.356276,5.476954,2.362405,223560359
2009-04-06,5.476954,5.699746,5.300578,5.439823,2.346389,238784496
2009-04-07,5.439823,5.588350,5.319144,5.467671,2.358401,143989536
2009-04-08,5.467671,5.588350,5.309861,5.569784,2.402445,69265910
2009-04-09,5.569784,6.071065,5.569784,6.052499,2.610657,84073965
2009-04-14,6.052499,6.303139,5.950386,6.191744,2.670719,205639758
2009-04-15,6.191744,6.191744,5.950386,6.015367,2.594642,137313314
2009-04-16,6.015367,6.266007,6.015367,6.219592,2.682731,159635314
2009-04-17,6.219592,6.405252,6.163895,6.405252,2.762813,177008901
2009-04-20,6.405252,6.423818,6.024650,6.080348,2.622670,152927688
2009-04-21,6.080348,6.117480,5.755444,5.950386,2.566613,244109600
2009-04-22,5.950386,6.201026,5.866839,6.201026,2.674722,210543703
2009-04-23,6.201026,6.201026,5.978235,6.052499,2.610657,200521588
2009-04-24,6.052499,6.238158,6.052499,6.238158,2.690739,201337775
2009-04-27,6.238158,6.238158,6.006084,6.173178,2.662711,278941090
2009-04-28,6.173178,6.191744,5.931820,6.089631,2.626675,215985476
2009-04-29,6.247441,6.507365,6.201026,6.460950,2.786837,108066439
2009-04-30,6.460950,6.804420,6.460950,6.748722,3.001992,207077832
2009-05-04,6.507365,6.590911,6.340271,6.479516,2.973829,204722862
2009-05-05,6.479516,6.628043,6.433101,6.572345,3.016433,278504213
2009-05-06,6.470233,6.655892,6.470233,6.600194,3.029216,91456191
2009-05-07,6.600194,6.785854,6.488799,6.516648,2.990871,285376131
2009-05-08,6.516648,6.860118,6.516648,6.822986,3.131467,200599787
2009-05-11,6.822986,6.897250,6.665175,6.785854,3.114425,192806509
2009-05-12,6.674458,6.804420,6.646609,6.693024,3.071821,102750707
2009-05-13,6.693024,6.758005,6.349554,6.349554,2.914182,126559511
2009-05-14,6.349554,6.386686,6.173178,6.386686,2.931225,158341143
2009-05-15,6.479516,6.498082,6.266007,6.321705,2.901401,78143013
2009-05-18,6.321705,6.609477,6.173178,6.590911,3.024955,91968426
2009-05-19,6.590911,6.860118,6.590911,6.813703,3.127207,135346686
2009-05-20,6.813703,6.869401,6.665175,6.785854,3.114425,122324308
2009-05-21,6.655892,6.702307,6.563062,6.618760,3.037737,60679936
2009-05-22,6.618760,6.804420,6.600194,6.758005,3.101643,81370685
2009-05-25,6.758005,6.804420,6.655892,6.785854,3.114425,30853179
2009-05-26,6.720873,6.934381,6.683741,6.869401,3.152769,82016674
2009-05-27,6.869401,7.045777,6.869401,7.027211,3.225199,102346332
2009-05-28,7.027211,7.027211,6.878684,6.971513,3.199635,67231338
2009-05-29,6.971513,7.082909,6.943664,6.952947,3.191114,88522022
2009-06-01,6.952947,7.277852,6.952947,7.240720,3.323189,93230720
2009-06-02,7.240720,7.259286,7.092192,7.194305,3.301887,119280663
2009-06-03,7.194305,7.250003,6.943664,6.990079,3.208156,112146226
2009-06-04,6.990079,7.055060,6.915816,7.027211,3.225199,103175584
2009-06-05,7.092192,7.259286,7.082909,7.175739,3.293365,82756631
2009-06-08,7.175739,7.175739,6.999362,7.064343,3.242240,75232230
2009-06-09,7.064343,7.231437,7.064343,7.185022,3.297626,73131533
2009-06-10,7.185022,7.435662,7.185022,7.370681,3.382836,106054023
2009-06-11,7.361398,7.500643,7.342832,7.444945,3.416920,93380876
