Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,12.900000,13.950000,12.740000,13.910000,10.469644,1517918
2009-01-05,13.970000,15.010000,13.650000,15.010000,11.297581,3544460
2009-01-06,15.010000,15.380000,14.720000,14.930000,11.237370,1299235
2009-01-07,15.040000,15.250000,14.300000,14.490000,10.906192,2703261
2009-01-08,14.200000,14.500000,13.800000,14.210000,10.695445,1878046
2009-01-09,14.430000,14.850000,14.150000,14.450000,10.876085,2034104
2009-01-12,14.350000,14.590000,14.010000,14.130000,10.635233,1266041
2009-01-13,14.000000,14.100000,13.430000,13.880000,10.447064,1103788
2009-01-14,14.020000,14.090000,12.710000,12.890000,9.701920,1563027
2009-01-15,12.990000,13.130000,12.260000,12.580000,9.468594,1877944
2009-01-16,13.020000,13.440000,12.900000,13.030000,9.807294,2555788
2009-01-19,13.430000,13.750000,12.740000,13.100000,9.859982,1938677
2009-01-20,12.970000,13.380000,12.410000,12.510000,9.415907,1888361
2009-01-21,12.410000,12.700000,11.900000,12.320000,9.272898,2929205
2009-01-22,12.630000,12.790000,12.060000,12.200000,9.182578,1622977
2009-01-23,12.250000,12.300000,11.810000,12.170000,9.159997,2037514
2009-01-26,12.200000,12.800000,12.080000,12.740000,9.589019,1691028
2009-01-27,12.890000,12.900000,12.320000,12.600000,9.483646,2684596
2009-01-28,12.770000,13.400000,12.770000,13.320000,10.025569,1778999
2009-01-29,13.330000,13.330000,12.630000,12.900000,9.709447,2452853
2009-01-30,12.900000,13.400000,12.710000,13.180000,9.920195,2262995
2009-02-02,12.910000,13.030000,12.010000,12.230000,9.205157,2407280
2009-02-03,12.400000,12.720000,12.200000,12.640000,9.513752,2542832
2009-02-04,12.690000,12.950000,12.400000,12.800000,9.634181,1872511
2009-02-05,12.520000,12.870000,12.360000,12.750000,9.596546,1686002
2009-02-06,12.910000,13.160000,12.720000,13.130000,9.882562,1909077
2009-02-09,13.100000,13.710000,12.900000,13.640000,10.266422,2843461
2009-02-10,13.600000,13.600000,12.900000,13.030000,9.807294,2848089
2009-02-11,12.800000,13.420000,12.790000,13.270000,9.987934,1992841
2009-02-12,13.300000,13.300000,12.540000,12.790000,9.626653,1521999
2009-02-13,13.060000,13.280000,13.000000,13.250000,9.972880,1797021
2009-02-16,13.120000,13.490000,12.970000,13.070000,9.837400,1173730
2009-02-17,12.900000,13.040000,12.530000,12.630000,9.506226,1622991
2009-02-18,12.590000,12.770000,12.020000,12.140000,9.137418,2347481
2009-02-19,12.300000,12.450000,12.080000,12.240000,9.212683,2585924
2009-02-20,12.100000,12.100000,11.600000,11.800000,8.881510,2212874
2009-02-23,12.080000,12.150000,11.250000,11.390000,8.572914,1140848
2009-02-24,11.110000,11.410000,10.920000,11.230000,8.452486,1818071
2009-02-25,11.480000,11.760000,10.900000,11.100000,8.354640,1609944
