date,account_value
2019-04-01,100000.0
2019-04-02,100136.87895840782
2019-04-03,100329.4909243886
2019-04-04,100823.2273961718
2019-04-05,100468.39159971928
2019-04-08,100524.1728836525
2019-04-09,100120.36991005535
2019-04-10,101153.48354887193
2019-04-11,101038.32339173698
2019-04-12,99981.67065379502
2019-04-15,100418.2752039212
2019-04-16,100266.21288055631
2019-04-17,99485.62217123968
2019-04-18,100060.45128136064
2019-04-23,99900.29992569942
2019-04-24,99893.73365425294
2019-04-25,100437.5309277771
2019-04-26,100172.63887595301
2019-04-29,100315.81705688291
2019-04-30,100914.26812431983
2019-05-02,98870.67602015806
2019-05-03,99366.95694073438
2019-05-06,97946.97657866272
2019-05-07,98153.82837018513
2019-05-08,97736.36290071455
2019-05-09,98228.36605189226
2019-05-10,97138.9099082318
2019-05-13,95813.46513422854
2019-05-14,97147.26604560231
2019-05-15,96926.03857578554
2019-05-16,95807.68174900656
2019-05-17,96260.37341569114
2019-05-20,96377.51573846563
2019-05-21,97058.63454929674
2019-05-22,96886.34629611127
2019-05-23,95482.82246837055
2019-05-24,96541.14132143058
2019-05-27,97444.51764359958
2019-05-28,96446.78662272987
2019-05-29,95501.06484314498
2019-05-30,95589.10136888536
2019-05-31,95588.44652419366
2019-06-03,96581.8294660642
2019-06-04,97029.58693630924
2019-06-05,98425.29287712336
2019-06-06,99655.66762030663
2019-06-07,100023.42081421104
2019-06-10,99177.1648924016
2019-06-11,99723.80613199616
2019-06-12,100163.96191061156
2019-06-13,101072.44781604309
2019-06-14,101123.31442220646
2019-06-17,99359.32589764481
2019-06-18,100288.2132384233
2019-06-19,99666.68917626975
2019-06-20,99887.30242270339
2019-06-21,99152.91797576455
2019-06-24,98441.92656587048
2019-06-25,98720.96756872328
2019-06-26,98061.3179122655
2019-06-27,96843.87223292934
2019-06-28,96414.88648643733
2019-07-01,97446.0818922022
2019-07-02,98605.64656157285
2019-07-03,99836.90445630408
2019-07-04,98756.6607210562
2019-07-05,97471.4213096092
2019-07-08,96557.17369435869
2019-07-09,96526.01763709975
2019-07-10,96667.73437736082
2019-07-11,96768.95396807262
2019-07-12,97073.50560369188
2019-07-15,97844.92921742116
2019-07-16,97966.87178926259
2019-07-17,97861.83825036201
2019-07-18,97522.96163569632
2019-07-19,97047.20627773112
2019-07-22,97721.06567170008
2019-07-23,98088.3188426315
2019-07-24,99367.72774689089
2019-07-25,99392.4513828684
2019-07-26,98427.87387573063
2019-07-29,99001.4277687327
2019-07-30,95662.3379676139
2019-07-31,95802.83947720643
2019-08-01,96484.77985258971
2019-08-02,94719.48946642666
2019-08-05,92940.989440973
2019-08-06,91735.81933103791
2019-08-07,92396.31693077512
2019-08-08,94037.02133989759
2019-08-09,92243.91007680977
2019-08-12,91904.68116644902
2019-08-13,92607.47692988643
2019-08-14,92303.73070090628
2019-08-15,91817.05999149552
2019-08-16,93741.1660756455
