date,account_value
2019-04-01,100000.0
2019-04-02,100353.80223608493
2019-04-03,101018.2065542817
2019-04-04,101704.79960325241
2019-04-05,101546.49373722394
2019-04-08,101455.71004247482
2019-04-09,101058.31751678656
2019-04-10,101333.64838536292
2019-04-11,102038.8140770547
2019-04-12,101493.70353642627
2019-04-15,102185.17470887824
2019-04-16,102299.764025902
2019-04-17,102025.8102298729
2019-04-18,102289.71766338273
2019-04-23,102278.970592653
2019-04-24,102023.62410328313
2019-04-25,102268.53738990947
2019-04-26,101218.03337726518
2019-04-29,101398.33328667804
2019-04-30,101410.02700511142
2019-05-02,99604.45623621866
2019-05-03,100066.84500960037
2019-05-06,98674.15665600225
2019-05-07,98434.61449203416
2019-05-08,95353.99897638484
2019-05-09,94981.46358596787
2019-05-10,94558.00275098786
2019-05-13,93448.59895026192
2019-05-14,94257.97859107956
2019-05-15,94467.41045772537
2019-05-16,94878.73847424492
2019-05-17,94832.30845844254
2019-05-20,94231.08627664551
2019-05-21,94790.4430619429
2019-05-22,94726.5041028212
2019-05-23,93122.87544667229
2019-05-24,93519.2406567286
2019-05-27,93990.07230793938
2019-05-28,92950.63034522042
2019-05-29,91582.56021821007
2019-05-30,91927.51244246468
2019-05-31,91097.575575466
2019-06-03,90826.4771877478
2019-06-04,91707.70653688416
2019-06-05,91788.96839391693
2019-06-06,92023.7681225489
2019-06-07,92458.55601608261
2019-06-10,92973.42492448792
2019-06-11,93538.0771769236
2019-06-12,93360.37575566277
2019-06-13,93681.8174139212
2019-06-14,93265.35551225647
2019-06-17,92618.00091850266
2019-06-18,93504.33613264069
2019-06-19,93086.33585321411
2019-06-20,93812.10766517624
2019-06-21,93321.19138371453
2019-06-24,93416.89631115898
2019-06-25,93570.73186408982
2019-06-26,92750.51000773415
2019-06-27,92406.52319228157
2019-06-28,92553.86538230881
2019-07-01,93528.89323555931
2019-07-02,93766.77060377106
2019-07-03,94877.70037567124
2019-07-04,94469.87515270218
2019-07-05,93474.37101304039
2019-07-08,93234.99745761856
2019-07-09,93282.0408619593
2019-07-10,93350.31616985306
2019-07-11,93648.32753812775
2019-07-12,94295.43952095017
2019-07-15,95096.49957477555
2019-07-16,95516.13416254029
2019-07-17,94732.22953950867
2019-07-18,93990.21933042511
2019-07-19,94040.29505121216
2019-07-22,94184.6953140448
2019-07-23,95078.44342457756
2019-07-24,95350.47013127312
2019-07-25,95528.75362717613
2019-07-26,94890.27651988968
2019-07-29,95336.98767625794
2019-07-30,91407.89570629105
2019-07-31,90484.43116409284
2019-08-01,93555.28403162264
2019-08-02,91342.3655809026
2019-08-05,89518.49270288755
2019-08-06,87989.57896368315
2019-08-07,88602.24389366915
2019-08-08,90232.10993306448
2019-08-09,88223.69643829872
2019-08-12,87245.16092352678
2019-08-13,87902.09604232122
2019-08-14,86302.06775109579
2019-08-15,85882.01759676459
2019-08-16,87119.17198590758
2019-08-19,88224.77244464877
2019-08-20,86580.683694644
2019-08-21,87482.31848446849
2019-08-22,87082.87991373065
2019-08-23,86465.54095952037
2019-08-26,87054.49563531402
2019-08-27,87408.37074105265
2019-08-28,86801.84910444739
2019-08-29,87865.5782721472
2019-08-30,88006.14983872893
2019-09-02,88963.64146213057
2019-09-03,88833.98586658957
2019-09-04,89989.6140429211
2019-09-05,90936.29890708449
2019-09-06,90145.41738585952
2019-09-09,90422.72746769908
2019-09-10,91913.34836499217
2019-09-11,92510.85350625041
2019-09-12,91396.99875740531
2019-09-13,91775.27291457179
2019-09-16,90742.60173885348
2019-09-17,90914.41276769164
2019-09-18,91289.8412933779
2019-09-19,91328.71674208167
2019-09-20,91298.86087028506
2019-09-23,89326.51997689727
2019-09-24,89148.45502845767
2019-09-25,87865.5397267771
2019-09-26,88509.10125700953
2019-09-27,89138.74213270667
2019-09-30,90028.41477350715
2019-10-01,88934.6696415377
2019-10-02,85580.74645976546
2019-10-03,85442.32764522555
2019-10-04,85503.38666407588
2019-10-07,86322.48664407256
2019-10-08,86056.04823641303
2019-10-09,86506.76575557711
2019-10-10,87424.8623092604
2019-10-11,89347.58041791442
2019-10-14,88907.90470973971
2019-10-15,89552.28506676677
2019-10-16,89309.7641063166
2019-10-17,89230.39185957435
2019-10-18,89048.94115523818
2019-10-21,89566.36402718547
2019-10-22,89408.49439887526
2019-10-23,89276.83341555121
2019-10-24,89645.41320638183
2019-10-25,96608.21901289943
2019-10-28,95160.65695361617
2019-10-29,95077.81799237254
2019-10-30,94949.21921877387
2019-10-31,95493.6243130398
2019-11-01,96703.6742870045
2019-11-04,96867.34313039306
2019-11-05,96746.59831838134
2019-11-06,96905.3961874676
2019-11-07,97889.44895581725
2019-11-08,97408.80386929038
2019-11-11,97971.21131615165
2019-11-12,96890.17999855998
2019-11-13,95682.10076694014
2019-11-14,95484.33203737262
2019-11-15,95840.56646971228
2019-11-18,95593.82846216681
2019-11-19,95824.34451512816
2019-11-20,95888.30336884978
2019-11-21,94542.17829958918
2019-11-22,95680.71893016818
2019-11-25,96522.8768217993
2019-11-26,97142.64827839854
2019-11-27,96918.38845149997
2019-11-28,98083.83616106036
2019-11-29,97461.59407763007
2019-12-02,95316.19593731883
2019-12-03,94891.08807413104
2019-12-04,97032.41992489817
2019-12-05,97078.6718410683
2019-12-06,97992.70452026847
2019-12-09,98062.20512370589
2019-12-10,97197.05025236132
2019-12-11,97050.59863929274
2019-12-12,98215.2681974602
2019-12-13,98597.78151790622
2019-12-16,99259.28406779292
2019-12-17,99389.4877173138
2019-12-18,99297.18388907435
2019-12-19,99610.47899024012
2019-12-20,100155.45970265391
2019-12-23,99371.08487479213
2019-12-24,98581.65482608798
2019-12-25,98581.65482608798
2019-12-27,98918.25944320681
2019-12-30,98263.57307426455
2019-12-31,97406.80124465945
2020-01-02,98203.88982908252
2020-01-03,98241.32529775622
2020-01-06,97627.57643429759
2020-01-07,97727.91809098246
2020-01-08,98168.75847856524
2020-01-09,97857.14011673453
2020-01-10,97241.19018499377
2020-01-13,97423.35741440776
2020-01-14,97506.0041995478
2020-01-15,97911.15056757453
2020-01-16,100129.78012089255
2020-01-17,100851.2592748833
2020-01-20,100492.30253355029
2020-01-21,100069.20836941722
2020-01-22,99540.49176554206
2020-01-23,99173.43527976992
2020-01-24,99533.86705748561
2020-01-27,98051.82623843673
2020-01-28,98564.28884069445
2020-01-29,98860.96954922202
2020-01-30,97311.4778477383
2020-01-31,95779.5560741854
2020-02-03,97078.63216499808
2020-02-04,98810.84731642726
2020-02-05,99444.30667166236
2020-02-06,99260.33782104972
2020-02-07,99229.30987970355
2020-02-10,99941.25946907523
2020-02-11,101413.31530158046
2020-02-12,101485.52976326468
2020-02-13,101133.9956299496
2020-02-14,101448.8672895861
2020-02-17,101897.62332598689
2020-02-18,101402.65202586177
2020-02-19,102146.57355563166
2020-02-20,101315.13618890765
2020-02-21,100127.25774209025
2020-02-24,97460.50184921744
2020-02-25,95509.1668891144
2020-02-26,95522.19644455436
2020-02-27,92256.34549693587
2020-02-28,91620.28010169986
2020-03-02,92529.36769442084
2020-03-03,93955.56697623256
2020-03-04,94926.61728386405
2020-03-05,93341.11221138957
2020-03-06,89815.06642429355
2020-03-09,83855.97357599261
2020-03-10,82304.63773907568
2020-03-11,82249.88257007598
2020-03-12,73486.6665463018
2020-03-13,76485.8668794262
2020-03-16,74006.32725248532
2020-03-17,79493.06046880083
2020-03-18,78413.29619032936
2020-03-19,76059.16657082038
2020-03-20,76741.46443507867
2020-03-23,73856.11149141984
2020-03-24,77101.44087571697
2020-03-25,78303.69525647955
2020-03-26,80596.80000428157
2020-03-27,81932.51388046937
2020-03-30,80759.2612501164
2020-03-31,82163.08061123686
2020-04-01,80816.66986490088
2020-04-02,81560.33391851978
2020-04-03,79929.09849003749
2020-04-06,81717.48375026183
2020-04-07,84266.547055759
2020-04-08,83068.53448928194
2020-04-09,83514.4758449574
2020-04-14,84612.63756708102
2020-04-15,82652.69977820711
2020-04-16,83191.65495789843
2020-04-17,84321.09419138031
2020-04-20,85498.1185976346
2020-04-21,85332.80200833874
2020-04-22,87259.04219947057
2020-04-23,86673.22461394267
2020-04-24,87310.46718198853
2020-04-27,90637.40410599904
2020-04-28,91810.48213870125
2020-04-29,93634.84677792387
2020-04-30,93032.56261570053
2020-05-04,90809.67848686175
2020-05-05,91647.9218992074
2020-05-06,91461.29850957589
2020-05-07,92481.12881768541
2020-05-08,94712.7148152967
2020-05-11,94850.2213305314
2020-05-12,93921.02295596199
2020-05-13,92289.76505855517
2020-05-14,89544.92405954795
2020-05-15,90912.15998510318
2020-05-18,92060.02014527516
2020-05-19,90010.47821564274
2020-05-20,90064.40064735012
2020-05-21,90647.74146372871
2020-05-22,91073.5804000874
2020-05-25,93252.74899179535
2020-05-26,92574.32820505695
2020-05-27,92887.05023480253
2020-05-28,93892.99770741453
2020-05-29,94099.3903711318
2020-06-01,94831.05320845832
2020-06-02,96099.8065202116
2020-06-03,97506.41117595424
2020-06-04,96912.55350874653
2020-06-05,98498.19663463821
2020-06-08,98733.67159079303
2020-06-09,97902.50711129894
2020-06-10,96947.65709929456
2020-06-11,94176.00241707554
2020-06-12,94288.22631912222
2020-06-15,94513.5422426938
2020-06-16,97211.53331922283
2020-06-17,96316.9105094551
2020-06-18,95767.24781428566
2020-06-19,95235.08819662323
2020-06-22,96265.56100355377
2020-06-23,96858.57041250457
2020-06-24,94277.5109259962
2020-06-25,95036.91747217168
2020-06-26,94900.28517298689
2020-06-29,95061.97324656238
2020-06-30,94780.26606206884
2020-07-01,94819.06842796793
2020-07-02,97020.98976646652
2020-07-03,96511.44424687614
2020-07-06,97702.72739570131
2020-07-07,96448.28805105676
2020-07-08,95841.75699983825
2020-07-09,95516.2695174097
2020-07-10,96165.5411633729
2020-07-13,96974.78688429584
2020-07-14,96545.90785794248
2020-07-15,97483.25078361024
2020-07-16,96662.3210788845
2020-07-17,96594.97722046365
2020-07-20,96709.71159015884
2020-07-21,96681.44190393676
2020-07-22,96562.93031613817
2020-07-23,97096.06519352188
2020-07-24,95582.71395711889
2020-07-27,94993.7161490797
2020-07-28,93921.06206618538
2020-07-29,94413.0071261405
2020-07-30,94026.90465717306
2020-07-31,97570.35165410032
2020-08-03,98075.16224341383
2020-08-04,99486.26647846689
2020-08-05,100527.42909185876
2020-08-06,99602.59441851368
2020-08-07,99299.25434522619
2020-08-10,100801.77216796865
2020-08-11,102396.45133911361
2020-08-12,102908.88922082176
2020-08-13,102819.66036854972
2020-08-14,101708.11003397693
2020-08-17,101991.46249579181
2020-08-18,102312.83928273906
2020-08-19,102486.88320724954
2020-08-20,101154.9934402584
2020-08-21,101032.99490116825
2020-08-24,102454.66574709406
2020-08-25,101508.36706160297
2020-08-26,102132.71120499363
2020-08-27,101323.58978377571
2020-08-28,100657.34784697284
2020-08-31,100113.19811623087
2020-09-01,99484.95588599434
2020-09-02,99584.59041922083
2020-09-03,98967.5102291583
2020-09-04,97139.43046872606
2020-09-07,97829.40723620643
2020-09-08,97114.3585848092
2020-09-09,98468.51093404283
2020-09-10,97704.62842874517
2020-09-11,97167.61827324619
2020-09-14,96835.93067781915
2020-09-15,97847.3958596467
2020-09-16,97855.03908019056
2020-09-17,97445.11623381366
2020-09-18,95746.4147029995
2020-09-21,94271.58525435915
2020-09-22,93539.19578610649
2020-09-23,93854.31795440902
2020-09-24,93239.87588982572
2020-09-25,93272.27589236488
2020-09-28,95204.50048677911
2020-09-29,94387.22896568765
2020-09-30,94543.75196950426
2020-10-01,94806.29307501306
2020-10-02,95657.89834718694
2020-10-05,96843.92341147651
2020-10-06,96304.40675096502
2020-10-07,96230.3875261425
2020-10-08,96566.20295952549
2020-10-09,96815.17250649919
2020-10-12,97427.81439881315
2020-10-13,97284.50487350216
2020-10-14,99478.90218286504
2020-10-15,97431.33466624012
2020-10-16,97778.772185254
2020-10-19,97221.74184482088
2020-10-20,97141.98168073883
2020-10-21,95927.6979986309
2020-10-22,95549.83248858442
2020-10-23,96389.21407936802
2020-10-26,93857.79377399673
2020-10-27,92893.94434081306
2020-10-28,90825.63343410482
2020-10-29,90891.6060348629
2020-10-30,94552.50485758772
2020-11-02,94762.96301637878
2020-11-03,96882.51534597864
2020-11-04,96699.4465408205
2020-11-05,97219.95455001583
2020-11-06,97380.10947691192
2020-11-09,99839.91070001115
2020-11-10,101721.96309136142
2020-11-11,102286.27454810133
2020-11-12,102255.12324439277
2020-11-13,103825.90782158365
2020-11-16,106104.17342560281
2020-11-17,105120.55399136533
2020-11-18,105824.54635189762
2020-11-19,103870.65063409795
2020-11-20,104410.56647764434
2020-11-23,104392.51236538877
2020-11-24,104893.43579767933
2020-11-25,106488.92978726616
2020-11-26,105558.04869453897
2020-11-27,106689.60884516229
2020-11-30,106530.53907512416
2020-12-01,105734.71315323104
2020-12-02,105373.30281852474
2020-12-03,105587.28925232877
2020-12-04,106550.78229366531
2020-12-07,107583.96384917488
2020-12-08,106563.33961837282
2020-12-09,106640.99682657709
2020-12-10,106183.17772291889
2020-12-11,106078.37827609768
2020-12-14,107006.96402626028
2020-12-15,108040.36686389436
2020-12-16,108362.814964044
2020-12-17,110709.1635892867
2020-12-18,110153.0982904314
2020-12-21,107980.85189269771
2020-12-22,109317.20215849867
2020-12-23,109749.89112983932
2020-12-24,109521.92036591758
2020-12-28,111187.57460634699
2020-12-29,111057.70063369264
2020-12-30,110368.47764055719
2020-12-31,109199.50161700239
2021-01-04,111637.92892115106
2021-01-05,110694.1615552782
2021-01-06,111695.58573769321
2021-01-07,113232.22806661119
2021-01-08,112770.49241404523
2021-01-11,113356.73877959242
2021-01-12,113003.60724954595
2021-01-13,113773.83690999736
2021-01-14,113861.23492257585
2021-01-15,112420.05930011263
2021-01-18,112978.76629679193
2021-01-19,112495.37231092443
2021-01-20,111504.67166368951
2021-01-21,110243.97598152151
2021-01-22,108732.74949650755
2021-01-25,108948.99401985397
2021-01-26,110098.27899907817
2021-01-27,109155.24126272192
2021-01-28,110087.87818341245
2021-01-29,108409.23090867986
2021-02-01,109487.92171643963
2021-02-02,110260.5022652029
2021-02-03,110253.1695076107
2021-02-04,110182.92404942503
2021-02-05,110485.09523646822
2021-02-08,111046.5385724782
2021-02-09,110070.27577643385
2021-02-10,109334.52899949541
2021-02-11,109541.04510544529
2021-02-12,110306.14522402277
2021-02-15,110733.33894376745
2021-02-16,110814.09561805715
2021-02-17,110424.30512468805
2021-02-18,108617.05814896812
2021-02-19,108760.0216796278
2021-02-22,107655.30344234695
2021-02-23,107326.82815377702
2021-02-24,107403.13665364971
2021-02-25,108590.99147008648
2021-02-26,109002.40833543529
2021-03-01,109248.38507150402
2021-03-02,109695.73624162664
2021-03-03,108720.8759806632
2021-03-04,109259.74569897642
2021-03-05,108397.5664925455
2021-03-08,109764.79109834423
2021-03-09,110620.68113051643
2021-03-10,111037.71222679605
2021-03-11,111533.1315615653
2021-03-12,112752.00238345852
2021-03-15,112178.65508090248
2021-03-16,112673.3060750245
2021-03-17,110362.68550645103
2021-03-18,109157.58687763204
2021-03-19,109371.23240749826
2021-03-22,109821.78786437502
2021-03-23,110093.85423766365
2021-03-24,109896.4325377821
2021-03-25,109514.34495853176
2021-03-26,112554.90776489963
2021-03-29,113535.84963612547
2021-03-30,114399.4547267436
2021-03-31,115591.58791344156
2021-04-01,115375.74427037229
2021-04-06,115459.76308010807
2021-04-07,114884.38323222389
2021-04-08,116143.11617641439
2021-04-09,115700.54250948419
2021-04-12,114651.280854988
2021-04-13,114388.99422495355
2021-04-14,114583.72441219082
2021-04-15,114282.79240553369
2021-04-16,115259.75237720003
2021-04-19,116399.45681534996
2021-04-20,113927.22077314844
2021-04-21,114596.53038160791
2021-04-22,115773.53315161457
2021-04-23,113990.93315093507
2021-04-26,114002.21572290649
2021-04-27,114054.41081325998
2021-04-28,113812.04112963667
2021-04-29,114316.65165840377
2021-04-30,113299.74001811733
2021-05-03,113258.27775119533
2021-05-04,113238.4498503088
2021-05-05,114872.32495461692
2021-05-06,115242.75592910041
2021-05-07,116614.29204844226
2021-05-10,117149.74591611614
2021-05-11,116083.42629789104
2021-05-12,115815.60352073898
2021-05-13,114709.77977393856
2021-05-14,115124.78469907035
2021-05-17,115286.47671197643
2021-05-18,115460.30307399025
2021-05-19,114046.02280853977
2021-05-20,114541.74410449257
2021-05-21,115100.11699699154
2021-05-24,115237.88655887832
2021-05-25,114827.70504926433
2021-05-26,114464.72452424755
2021-05-27,114597.10204457035
2021-05-28,114663.04688404789
2021-05-31,114884.14064561119
2021-06-01,115377.37470148792
2021-06-02,114954.07166312923
2021-06-03,115297.3300578474
2021-06-04,115117.86501728286
2021-06-07,115154.2204646944
2021-06-08,115031.99622629871
2021-06-09,115599.86435924759
2021-06-10,114887.58940170993
2021-06-11,115784.37242697467
2021-06-14,115814.8718652605
2021-06-15,115004.8968657135
2021-06-16,114990.21271585216
2021-06-17,114488.24697266807
2021-06-18,112706.83282886734
2021-06-21,113502.31812201728
2021-06-22,113794.07390545597
2021-06-23,113735.94011257877
2021-06-24,116061.4635029911
2021-06-25,117295.68974386444
2021-06-28,115889.30270241489
2021-06-29,116396.69378100624
2021-06-30,115782.35982631435
2021-07-01,116789.86071001281
2021-07-02,116573.45769439926
2021-07-05,116873.64262317409
2021-07-06,116579.82324360599
2021-07-07,116945.43519352665
2021-07-08,115399.50392292728
2021-07-09,116372.0374470829
2021-07-12,116520.18184410324
2021-07-13,115542.5195854782
2021-07-14,114888.03288422813
2021-07-15,112303.56442283382
2021-07-16,111675.63121925583
2021-07-19,110022.49052416076
2021-07-20,110995.14705990543
2021-07-21,112893.19992254963
2021-07-22,114193.73419963112
2021-07-23,115232.10707424869
2021-07-26,115254.9903578638
2021-07-27,114515.983566749
2021-07-28,115752.90025507202
2021-07-29,115933.28563474407
2021-07-30,116250.2496230482
2021-08-02,118320.32023607483
2021-08-03,118197.55771433105
2021-08-04,118391.39271854152
2021-08-05,117978.85851918449
2021-08-06,117870.56192969074
2021-08-09,118039.74814068069
2021-08-10,119379.83349012127
2021-08-11,120709.76836060276
2021-08-12,119863.79635106315
2021-08-13,120352.69775389423
2021-08-16,119385.6196862339
2021-08-17,118829.50235544433
2021-08-18,119092.5452134489
2021-08-19,118308.20953451385
2021-08-20,118314.8500445961
2021-08-23,118455.425850737
2021-08-24,118425.34108577957
2021-08-25,118328.26331053962
2021-08-26,118331.30093132248
2021-08-27,119070.4884867548
2021-08-30,118759.2686114191
2021-08-31,117897.1987197279
2021-09-01,119157.17657409896
2021-09-02,119015.61154590835
2021-09-03,118132.99051009407
2021-09-06,118504.83123015155
2021-09-07,118808.15355347385
2021-09-08,118203.54932938804
2021-09-09,117253.75689790784
2021-09-10,116178.01135717912
2021-09-13,117140.74366401715
2021-09-14,116884.24078713937
