date,account_value
2019-04-01,100000.0
2019-04-02,100167.69063040931
2019-04-03,100283.27366847734
2019-04-04,100971.07059535777
2019-04-05,100488.42337772183
2019-04-08,100576.02830771796
2019-04-09,99961.18667788539
2019-04-10,100576.921399162
2019-04-11,101134.97738439059
2019-04-12,100319.06824750834
2019-04-15,100957.68686378069
2019-04-16,101212.1258087297
2019-04-17,101054.90123788451
2019-04-18,101792.17693304204
2019-04-23,101877.45625928153
2019-04-24,101718.22942317989
2019-04-25,101752.9807847082
2019-04-26,101713.93134304119
2019-04-29,102154.29208871083
2019-04-30,102513.54633475155
2019-05-02,100526.03645465265
2019-05-03,101366.37449668693
2019-05-06,100053.71376809038
2019-05-07,99391.40873172658
2019-05-08,98512.34878479889
2019-05-09,97758.52115662488
2019-05-10,96996.83035305578
2019-05-13,95064.33842910676
2019-05-14,96720.32367840353
2019-05-15,96837.07142902218
2019-05-16,97257.71424444136
2019-05-17,96994.79799225314
2019-05-20,96741.68522924386
2019-05-21,97522.34348984403
2019-05-22,97432.20739094098
2019-05-23,95775.34477483097
2019-05-24,96577.74930047573
2019-05-27,97683.36452087315
2019-05-28,97300.03527949798
2019-05-29,96457.5167869024
2019-05-30,96961.78793162959
2019-05-31,96627.91388485832
2019-06-03,96605.27920960706
2019-06-04,97440.73870926809
2019-06-05,98352.42386302458
2019-06-06,99048.93318975142
2019-06-07,99362.39061777244
2019-06-10,99016.56097032843
2019-06-11,99743.63106684109
2019-06-12,99795.27115610115
2019-06-13,100304.32444776176
2019-06-14,100317.32440622522
2019-06-17,99500.49676537972
2019-06-18,100725.68003148335
2019-06-19,99646.29237222513
2019-06-20,99858.60467058218
2019-06-21,99225.77749552882
2019-06-24,98624.50669970145
2019-06-25,98793.02122823634
2019-06-26,98187.14660039118
2019-06-27,98229.78666362709
2019-06-28,98388.06497641777
2019-07-01,99512.90952343155
2019-07-02,100093.77853831249
2019-07-03,101416.06114234815
2019-07-04,100902.32291932573
2019-07-05,100833.81897782885
2019-07-08,100502.49647600896
2019-07-09,100657.43053706677
2019-07-10,100914.19879370014
2019-07-11,101123.7201322098
2019-07-12,101380.97871431986
2019-07-15,102225.82192779843
2019-07-16,102855.1022634644
2019-07-17,102181.22557874901
2019-07-18,102091.25947930341
2019-07-19,101797.95736540649
2019-07-22,102283.563178154
2019-07-23,102645.70572697905
2019-07-24,103180.91373809005
2019-07-25,103114.61572974332
2019-07-26,101681.3762605413
2019-07-29,101489.36215123233
2019-07-30,97938.19536146036
2019-07-31,98042.85252774652
2019-08-01,99184.2465586364
2019-08-02,97289.4106857279
2019-08-05,95153.8970508004
2019-08-06,94654.81155372021
2019-08-07,94726.61410348715
2019-08-08,96689.08584421752
2019-08-09,94727.98435606345
2019-08-12,94190.46444670665
2019-08-13,95074.7394232198
2019-08-14,94117.7818456372
2019-08-15,94060.1082372175
2019-08-16,95939.75267035772
2019-08-19,99464.96649105899
2019-08-20,97859.85172657768
2019-08-21,99263.91527089388
2019-08-22,98676.42906142873
2019-08-23,98428.50184392228
2019-08-26,99105.7630133398
2019-08-27,99689.18012171632
2019-08-28,99405.45799490082
2019-08-29,100008.57937258524
2019-08-30,100188.8507137298
2019-09-02,100230.79918479845
2019-09-03,100282.5808371871
2019-09-04,100870.1010399986
2019-09-05,101202.55894725626
2019-09-06,100424.01821322014
2019-09-09,100282.43102914527
2019-09-10,99863.50893383099
2019-09-11,100777.82252550889
2019-09-12,100682.11287893882
2019-09-13,100704.28823924625
2019-09-16,100230.95554539611
2019-09-17,100375.38520903738
2019-09-18,100698.92117137341
2019-09-19,100885.44335481462
2019-09-20,100152.6803680069
2019-09-23,99554.7633557791
2019-09-24,100417.06212227912
2019-09-25,99018.91616446938
2019-09-26,99517.71490754854
2019-09-27,99875.7899078307
2019-09-30,100206.07443725271
2019-10-01,99055.21044782635
2019-10-02,97273.73596195255
2019-10-03,96499.72372724398
2019-10-04,97241.20293260358
2019-10-07,98294.39744516529
2019-10-08,96274.57049273893
2019-10-09,96283.507069416
2019-10-10,97115.63565049431
2019-10-11,98285.81889052263
2019-10-14,98851.98141120796
2019-10-15,99114.96369944487
2019-10-16,98930.3801631446
2019-10-17,99103.22728145242
2019-10-18,98575.54372209497
2019-10-21,99097.21436933219
2019-10-22,99011.23376234854
2019-10-23,98859.18147170535
2019-10-24,99323.6766429269
2019-10-25,100170.13083258377
2019-10-28,99969.05713334023
2019-10-29,99777.70249970199
2019-10-30,100170.94999656927
2019-10-31,101054.9536346394
2019-11-01,101575.23243304537
2019-11-04,101709.28578982108
2019-11-05,101215.70303394903
2019-11-06,101765.19215043208
2019-11-07,102339.69253513642
2019-11-08,102103.6518305297
2019-11-11,102604.54079681246
2019-11-12,101475.6506772256
2019-11-13,100476.1513837423
2019-11-14,100531.29723523739
2019-11-15,101024.47721336516
2019-11-18,101205.68627356239
2019-11-19,101210.67239722659
2019-11-20,100854.9535951558
2019-11-21,100486.48773775433
2019-11-22,101121.6564310057
2019-11-25,102237.18964566119
2019-11-26,102345.77988334237
2019-11-27,102630.59337977915
2019-11-28,102979.50556599222
2019-11-29,103022.85981445812
2019-12-02,101454.230679323
2019-12-03,101286.23258722555
2019-12-04,102109.27726214706
2019-12-05,102124.62314428508
2019-12-06,103492.51743701803
2019-12-09,103150.33569143653
2019-12-10,102732.05257357516
2019-12-11,103443.27987017618
2019-12-12,103967.41781078665
2019-12-13,104354.14297650357
2019-12-16,105864.34572526377
2019-12-17,105656.6479854415
2019-12-18,105057.19093181586
2019-12-19,106951.39520221185
2019-12-20,107937.48514084987
2019-12-23,109333.93541235491
2019-12-24,110229.65538038175
2019-12-25,110227.85349709199
2019-12-27,111226.13994004333
2019-12-30,111232.69453429668
2019-12-31,110404.58406074697
2020-01-02,112345.28940298225
2020-01-03,112095.90770091492
2020-01-06,111312.5500908893
2020-01-07,110559.67689606773
2020-01-08,111131.45889194525
2020-01-09,111105.94543984006
2020-01-10,111057.19914363092
2020-01-13,111121.07117358207
2020-01-14,111271.58392121494
2020-01-15,111396.23481437625
2020-01-16,112656.82094964013
2020-01-17,113947.57151125911
2020-01-20,113985.18237582246
2020-01-21,113805.61861488526
2020-01-22,113990.63240832905
2020-01-23,112836.35168420408
2020-01-24,112755.15663459682
2020-01-27,111688.85165222088
2020-01-28,112833.87066558005
2020-01-29,114023.93617688105
2020-01-30,112981.97513518402
2020-01-31,111391.507417942
2020-02-03,111625.53450413342
2020-02-04,113808.57308661246
2020-02-05,116223.38673745873
2020-02-06,116970.96993196632
2020-02-07,117437.72500211798
2020-02-10,117714.40814153945
2020-02-11,120208.32971390613
2020-02-12,121161.20087597116
2020-02-13,120475.1266976882
2020-02-14,120743.22700050897
2020-02-17,121178.48641129475
2020-02-18,119835.04525011107
2020-02-19,116870.29304388228
2020-02-20,117098.16161857551
2020-02-21,116858.41166557047
2020-02-24,111640.36666034245
2020-02-25,108664.55325561436
2020-02-26,108573.4001387044
2020-02-27,105996.88340424527
2020-02-28,105097.77991736896
2020-03-02,105043.68055970495
2020-03-03,106772.2137001914
2020-03-04,107223.22320096442
2020-03-05,105083.99019363966
2020-03-06,101852.4485779862
2020-03-09,93854.3489240589
2020-03-10,90965.10241553272
2020-03-11,89524.86590325533
2020-03-12,76357.40169719531
2020-03-13,80837.37399764733
2020-03-16,75193.49434350722
2020-03-17,79150.51890110341
2020-03-18,78046.94548904807
2020-03-19,79401.84194007411
2020-03-20,81382.20116643938
2020-03-23,79651.71248992557
2020-03-24,83281.15052825364
2020-03-25,84178.42868141127
2020-03-26,86969.41346983751
2020-03-27,84866.90281226188
2020-03-30,84664.8819270176
2020-03-31,87259.83360877735
2020-04-01,85271.55541085031
2020-04-02,85108.59014316276
2020-04-03,84627.0690898647
2020-04-06,86612.2834072202
2020-04-07,90193.89713757744
2020-04-08,89763.44219851494
2020-04-09,92804.2758513701
2020-04-14,93678.63675120007
2020-04-15,91153.09541463233
2020-04-16,90731.33381273548
2020-04-17,92363.2595752077
2020-04-20,92024.73098413591
2020-04-21,92590.33418168192
2020-04-22,93934.56960171093
2020-04-23,94402.25493429738
2020-04-24,92295.86666111457
2020-04-27,94025.03873145625
2020-04-28,94685.63494678303
2020-04-29,97456.20055455477
2020-04-30,97191.34084582317
2020-05-04,92646.6854219604
2020-05-05,94214.1633362991
2020-05-06,93020.82852550068
2020-05-07,93215.31751564155
2020-05-08,94059.40296288254
2020-05-11,93930.5047892151
2020-05-12,94284.47559755758
2020-05-13,94167.2251556886
2020-05-14,91703.20918636068
