,date,account_value
0,2019-04-01,99998.00316341508
1,2019-04-02,100138.92417594464
2,2019-04-03,100446.42913782214
3,2019-04-04,100562.25805087981
4,2019-04-05,100771.46421533497
5,2019-04-08,100518.38330752958
6,2019-04-09,100316.52457976341
7,2019-04-10,100480.78688946547
8,2019-04-11,100510.4245244789
9,2019-04-12,100110.96948550596
10,2019-04-15,100469.28394272228
11,2019-04-16,100384.68261795533
12,2019-04-17,100422.39715982083
13,2019-04-18,100769.80171060994
14,2019-04-23,100458.51749564389
15,2019-04-24,100345.06846107307
16,2019-04-25,100614.83703285405
17,2019-04-26,100218.31028790132
18,2019-04-29,100593.70664782493
19,2019-04-30,100686.59827548085
20,2019-05-02,99153.22656545044
21,2019-05-03,99568.8827616565
22,2019-05-06,98251.19665243122
23,2019-05-07,97722.30807249183
24,2019-05-08,97174.04202126426
25,2019-05-09,95520.17492015418
26,2019-05-10,95977.04187405389
27,2019-05-13,94737.91938186916
28,2019-05-14,95194.5191200861
29,2019-05-15,95441.48457082902
30,2019-05-16,96266.43160442155
31,2019-05-17,96375.02437392701
32,2019-05-20,95869.70173633216
33,2019-05-21,96672.44244582955
34,2019-05-22,96771.04890738036
35,2019-05-23,94856.47776956503
36,2019-05-24,95620.50993891606
37,2019-05-27,96408.63995114082
38,2019-05-28,96296.61586245839
39,2019-05-29,94732.06093206306
40,2019-05-30,95317.1494033771
41,2019-05-31,94573.19292074272
42,2019-06-03,94747.8289736187
43,2019-06-04,94991.65932045257
44,2019-06-05,95532.16193508277
45,2019-06-06,95809.28511262161
46,2019-06-07,96341.6725271489
47,2019-06-10,96560.32031671348
48,2019-06-11,96676.71914088378
49,2019-06-12,96545.17464138448
50,2019-06-13,96819.93379011213
51,2019-06-14,96517.80508802636
52,2019-06-17,95847.26848787564
53,2019-06-18,97053.31415359191
54,2019-06-19,96575.06504653518
55,2019-06-20,96732.55218307166
56,2019-06-21,97051.63077758951
57,2019-06-24,96755.24988795872
58,2019-06-25,96590.24091683386
59,2019-06-26,95574.43869937552
60,2019-06-27,95507.09042784908
61,2019-06-28,95650.65007037797
62,2019-07-01,96360.90487866884
63,2019-07-02,96693.55343551422
64,2019-07-03,98129.51347921863
65,2019-07-04,97479.57668461475
66,2019-07-05,96231.44925119152
67,2019-07-08,95643.19372984048
68,2019-07-09,95347.2326214351
69,2019-07-10,95061.12889688025
70,2019-07-11,95117.17061760263
71,2019-07-12,95457.20248763432
72,2019-07-15,96235.7635442241
73,2019-07-16,96561.53554839618
74,2019-07-17,96082.5933711462
75,2019-07-18,95406.92291584142
76,2019-07-19,95411.9751859987
77,2019-07-22,95599.66132839266
78,2019-07-23,96530.59544688331
79,2019-07-24,96697.4013780028
80,2019-07-25,96734.69440513999
81,2019-07-26,95972.17452680712
82,2019-07-29,96094.00014165048
83,2019-07-30,93468.70941362646
84,2019-07-31,93613.01555402945
85,2019-08-01,94751.45890378804
86,2019-08-02,92871.94020158931
87,2019-08-05,90865.75844911404
88,2019-08-06,89958.65113783839
89,2019-08-07,90544.93516086244
90,2019-08-08,92220.40344420925
91,2019-08-09,90615.46780223904
92,2019-08-12,89782.47252690168
